duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG_Pupil,20,200,0.575,0.575,0.552337063857801,0.6062,0.633810797338628,0.575,0.575,0.471335608835609,0.752,0.808396825396825,0.5,0.66,0.450117831893166,0.647136413242193,0.5,0.66,0.375729392135642,0.578845356032856,0.6,833e9099e5a79270a38c32342b3cce441850347bb36101a9997fe1f91b396e98,697db1b89a264a27be58616140a8361128e74555a70f26f758d7ac169d88e1f8,True,4
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,0.52,0.52,0.461339916956571,0.6652,0.586267087035282,0.52,0.52,0.369230769230769,0.804,0.84602380952381,0.5,0.545,0.382773777237445,0.512463631359597,0.5,0.545,0.333333333333333,0.414652014652015,0.6,1326516f469533be59ab395bb8cf076d564f12d80469f65886f5f4fb2fa7433e,1b94c019d8a65e0d53311fb9c6bf2910538d89a093b2d0f399a97b58d151fd5e,True,5
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,EEG,20,200,0.515,0.515,0.419839110021233,0.6231,0.620541266849373,0.515,0.515,0.379464285714286,0.746,0.802539682539683,0.47,0.56,0.337318087318087,0.498144473444168,0.47,0.56,0.329166666666667,0.438690476190476,0.6,240f64b38744360c6e25741f1528529274bf78e075a2332b02e90dd6e05eae05,edc8a2e4b8621132b32872c9ca15a1accaa8a78e1f021ccbc8f68cac4b14b40a,True,6
4,matched_sensitivity_reference,cross_experiment,experiment3_to_experiment2,ECG,20,200,0.49,0.49,0.481232834909979,0.4935,0.520007435040726,0.49,0.49,0.362110805860806,0.452,0.605353174603175,0.4,0.58,0.376086229946524,0.570262140094542,0.4,0.58,0.279156936813187,0.458931433150182,0.5,a2857b04bb6e04b4d335ceae60c320e398c5e264cd4f6e97164519bd5aff8264,1967dce98bd65138610a93dc00d1dfdb3d014fe1ab28205d00d063f36d7c48a9,True,7
4,matched_sensitivity_reference,within_experiment,experiment2,ECG_EEG_Pupil,20,200,0.6,0.6,0.595959595959596,0.6798,0.65932141356898,0.6,0.6,0.481030081030081,0.794,0.836047619047619,0.535,0.68,0.519802680325324,0.67316153362665,0.535,0.68,0.386080586080586,0.587989787989788,"0.3,0.4,0.5,0.6,0.7",9e6c43ce1adea3bc9ec6cf936f499e6e3471be5b5ce031d4b45d54d087c4f0ca,c9eb01b20960eef3b77d0d0ac1e81efdd6965c1739b28aa42519f206621bc777,True,1
4,matched_sensitivity_reference,within_experiment,experiment2,Pupil,20,200,0.595,0.595,0.5937711577522,0.65555,0.620873530742827,0.595,0.595,0.502778332778333,0.772,0.813607142857143,0.53,0.67,0.524892407887118,0.664926283455654,0.53,0.67,0.416977078477078,0.600059579309579,"0.3,0.4,0.5,0.6,0.7",28a01094a1f6b31755909c61c5bab55b24a647c0701ea607c97dc349cc978784,515f66ca83a9a230e084b6c0284e681244f8332c6b3b42152c0d37c01f03e04d,True,2
4,matched_sensitivity_reference,within_experiment,experiment2,EEG_Pupil,20,200,0.59,0.59,0.589630667600841,0.6524,0.642454289855457,0.59,0.59,0.475292762792763,0.818,0.84115873015873,0.53,0.665,0.51955918980929,0.662575584398663,0.53,0.665,0.385393772893773,0.576991064491065,"0.3,0.4,0.5,0.6,0.7",e6807b80aae04b990ad1c0da6b613e80095b66d839d9b238937edbad8adbb416,c1d1cc0b37fc60faaae3b04ce1806b5cce5409f6199d5aaa64fd954000f9daab,True,3
4,matched_sensitivity_reference,within_experiment,experiment2,EEG,20,200,0.575,0.575,0.574904353479533,0.6496,0.648694653695316,0.575,0.575,0.465630896880897,0.738,0.784230158730159,0.53,0.63,0.521920455701353,0.626262626262626,0.53,0.63,0.39166298978799,0.547136717449217,"0.3,0.4,0.5,0.6,0.7",346c0052c63e86600d8f5bb2ebf5a12851b74889a84b6c4cf30a8117f8fedda0,9cf498c20debda27be44eb76c4451bcc21436cedccd693c26e52529b4c36001c,True,4
4,matched_sensitivity_reference,within_experiment,experiment2,ECG_EEG,20,200,0.55,0.55,0.53660797034291,0.5527,0.563260324509854,0.55,0.55,0.423932317682318,0.674,0.749718253968254,0.51,0.595,0.464500153141127,0.590416400175213,0.51,0.595,0.35989010989011,0.498755775474525,"0.3,0.4,0.5,0.6",7ebc693a73cd4853bf2b4cb06b9d70e3e0ee9d89b1aee439275c401abb458384,aaf1cbe9bcfbd25c673899491ed0b46308d6cbd8fc90d36253c8735b9e4b899b,True,5
4,matched_sensitivity_reference,within_experiment,experiment2,ECG,20,200,0.525,0.525,0.489123712726197,0.52145,0.552444991570423,0.525,0.525,0.389194139194139,0.567,0.682773809523809,0.45,0.6,0.373219373219373,0.59079283887468,0.45,0.6,0.300915750915751,0.495054945054945,"0.3,0.4,0.5,0.6,0.7",ce84539d1557518a111493060f15ba54b2974f1b0918376882dbd164a9c848fa,b3f9822b61750900f4f6cf97904a4291cd3ba7dfcab77d33814367d7aa0b52f7,True,6
4,matched_sensitivity_reference,within_experiment,experiment2,ECG_Pupil,20,200,0.515,0.515,0.501426331885585,0.6119,0.596470366419152,0.515,0.515,0.383516483516483,0.754,0.812130952380952,0.44,0.59,0.408630057681025,0.578999532649677,0.44,0.59,0.309523809523809,0.472380952380952,"0.3,0.4,0.5,0.6,0.7",df029be981c75ed0e1c55313e1324195437d41ef0ca5147fef13f357d72fcffe,095322995230371e13668bea36b450bd2cf8d38662645245a9be691b570bf442,True,7
4,matched_sensitivity_reference,within_experiment,experiment3,EEG_Pupil,16,187,0.631016042780749,0.631693363844394,0.630635788509432,0.698970251716247,0.698986389195481,0.625236742424242,0.630208333333333,0.540551574650839,0.858680555555556,0.886388437950938,0.567592995211518,0.702139051773455,0.560479471660209,0.699927059377684,0.567708333333333,0.697916666666667,0.446511217030518,0.642263137444663,"0.4,0.5,0.6,0.7",90c062104082624aa616d03b214d7c3518f1a8796f1caac7884f9701f0a0f475,9bd612835f719e068b4856e37ddc2e3a24df26b74f3f2b4267e5075042007577,True,1
4,matched_sensitivity_reference,within_experiment,experiment3,ECG_EEG_Pupil,16,187,0.609625668449198,0.611155606407323,0.606746751937315,0.670823798627002,0.675446881190118,0.604876893939394,0.6125,0.509794739574151,0.845138888888889,0.878137776575276,0.534671665576986,0.695374960839599,0.515855201368154,0.69197469855904,0.5375,0.695833333333333,0.402585371123974,0.62705402746763,"0.4,0.5,0.6,0.7",5954d5eb2e7cb64e6c0930c3d0e200c3ee1820e41539b18599be4ea53e61af0f,210feaf1625cae9446e2e9dc22f2fbc4f34b3efd1534b8e656fbf6e02c60c1b9,True,2
4,matched_sensitivity_reference,within_experiment,experiment3,Pupil,16,187,0.598930481283422,0.600286041189931,0.596669830040549,0.740503432494279,0.777168043506045,0.594460227272727,0.604166666666667,0.521310072688749,0.896527777777778,0.907323232323232,0.546087470449173,0.659920504385965,0.536254955208041,0.655527696034021,0.552083333333333,0.661458333333333,0.440207050149605,0.60545124682303,"0.3,0.4,0.5,0.6",f6f28155a05231ff8b8e92fa86508200ed8cf533b3c94291e3c329a6a9ce0855,38d4cf7b4026eab75b4e0cad9a4581b074e09663ca2ff97a699c099da6995466,True,3
4,matched_sensitivity_reference,within_experiment,experiment3,ECG_Pupil,16,187,0.588235294117647,0.588729977116705,0.588046805710525,0.631235697940503,0.606217258020725,0.587831439393939,0.582291666666667,0.472515658361247,0.803472222222222,0.845690912097162,0.522556390977444,0.665370684776457,0.511236802835619,0.662949788784691,0.51875,0.65625,0.380439248251748,0.575805279279544,"0.3,0.4,0.5,0.6",cd86353ec9a44e0344d08b03cacc73b525fe4d70d43b4086547b05be500bc96e,46afa09cda7302dd563c6ae622348ec7807ab00a13cb0d9d54bd4a94ac6f64dd,True,4
4,matched_sensitivity_reference,within_experiment,experiment3,EEG,16,187,0.566844919786096,0.565617848970252,0.563650505574281,0.604919908466819,0.600294684787601,0.562736742424242,0.567708333333333,0.44963036350904,0.699652777777778,0.769996467652718,0.512054231797514,0.625574402660792,0.495380372504713,0.623979980415624,0.520833333333333,0.625,0.371437722816399,0.539281506636746,"0.3,0.4,0.5,0.6,0.7",036778dc55063ddc3c340564224f8063a400e2452972cd7cbf042874ea75518e,c787613cfb59b406b01fae88a3344ddb682fd3a4e269a6aecc21cc6cf6585ef6,True,5
4,matched_sensitivity_reference,within_experiment,experiment3,ECG_EEG,16,187,0.556149732620321,0.555606407322654,0.555335911760493,0.629061784897025,0.635681881060028,0.551846590909091,0.5625,0.434271870898709,0.794444444444445,0.841226250601251,0.501375343835959,0.618096217105263,0.489234530462042,0.615456262206262,0.515625,0.619791666666667,0.354104125041625,0.526567349240833,"0.4,0.5,0.6,0.7",8c584f158d1e2d9a20c2acb1ff4512ecffc1467ee64e5c36cbdd1fd51e888d81,4521d5a3f32262802d0cd9eebf56f1d5e56a04e2231cdd37137cc3d13ba2cf30,True,6
4,matched_sensitivity_reference,within_experiment,experiment3,ECG,16,187,0.508021390374332,0.504118993135011,0.474847374847375,0.481807780320366,0.509989946189971,0.510653409090909,0.5,0.359374158317173,0.428819444444444,0.587716074434824,0.474616228070175,0.52950429863589,0.38239721776513,0.521674616004947,0.473958333333333,0.520833333333333,0.330548352153361,0.392254497953027,"0.3,0.4,0.5,0.6",a67f850e3d5f9732b0653693ab22dc6fc2ac9749764fcd5e74448dea0cccd6b0,05c6f9b2ae762de18d435488bb69ea2d4758ab23ab349ad6f46778b35be8e9d9,True,7
