duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,primary_four_second_392_recording_analysis_replaced
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,0.58,0.58,0.546974436414626,0.7216,0.630602032108249,0.58,0.58,0.467811355311355,0.822,0.859329365079365,0.535,0.63,0.463528597386865,0.611722985437848,0.535,0.63,0.395604395604396,0.543475274725275,0.6,780f36f3593e61fc1ce4305b0bec585683ce8daba8f24e5eb45575a91acfdd22,3ebc4bfdbdb4e8492efe20e959742c99da91b1a5aedef29f24cae458766cd089,True,4,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG_Pupil,20,200,0.54,0.54,0.452380952380952,0.63875,0.599951898803145,0.54,0.54,0.39,0.788,0.827563492063492,0.5,0.605,0.333333333333333,0.555625436757511,0.5,0.605,0.333333333333333,0.48,0.6,14a763f51c9ac47b335d4687709e8ddd150240ec7c4b5c163a048c38b9746223,aac5f85cbd1f92e9c11b7d45683e744725b61736ad1f2885b356fd72c62b72e8,True,5,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG,20,200,0.535,0.535,0.533589107048823,0.4961,0.49413320368523,0.535,0.535,0.419642857142857,0.46,0.595761904761905,0.455,0.62,0.4438524909691,0.614759224515322,0.455,0.62,0.330059523809524,0.521130952380952,0.7,ef8a2742ec26d8599910b4b43daae0a1369be4d81e2ed429b34001a0d1c6222e,6ebd93b609fc32b60ee37dd27292f7a61490997740e3b73a938a608a4d8bd0de,True,6,False
32,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_Pupil,20,200,0.515,0.515,0.514405146304223,0.5535,0.547690206525661,0.515,0.515,0.399431818181818,0.698,0.774349206349206,0.445,0.575,0.439740825981131,0.570006553502363,0.445,0.575,0.329166666666667,0.475352408008658,0.5,352340ef70a276c64b047d9d775c4c0bc74ccab869f0b2820c73fa90a4be2495,336d9e84c14001ccd25977968a1b44f392e29fdd0cff552bbad96e1f2bfc89a1,True,7,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,ECG_EEG,20,200,0.68,0.68,0.679871948779512,0.669,0.629288185968104,0.68,0.68,0.612726856476857,0.722,0.79259126984127,0.575,0.785,0.571907028279318,0.783444031778246,0.575,0.785,0.484559052059052,0.741907693001443,"0.3,0.4,0.5,0.6",ea678ec802aedce2e3b977dc43fb821ad431ce8e67b88d74b064d3544044e3a7,c8b958f2b7fa629b73f0c733c35dc33cbe41b8904d3905a8b0e7bd59fcc67b07,True,1,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,EEG,20,200,0.635,0.635,0.632343683110473,0.7144,0.699260572693895,0.635,0.635,0.546821928071928,0.796,0.839484126984127,0.565,0.71,0.550933296057618,0.709883953581433,0.565,0.71,0.449729437229437,0.650587693556444,"0.3,0.4,0.5,0.6,0.7",f56b2e00588c1f6f013e65cadc9fbf149bafbc400c28efb6b38496fdfe274eb5,27d771c727ac403a8921b983e72fa07372183080f66ca73317208bf63665e75b,True,2,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,ECG_EEG_Pupil,20,200,0.63,0.63,0.629407051282051,0.72345,0.7058807355422,0.63,0.63,0.545205488955489,0.808,0.839416666666667,0.57,0.7,0.564883056199643,0.69499237480937,0.57,0.7,0.458341658341658,0.639680302336552,"0.3,0.4,0.5,0.6,0.7",34e11df004167cdec1bbb69b349ff721f3f4dd2c52be3fef3798e803850a9f89,a40e38c9d74785d260f6062cb2f91406388fda6ad4bd3afec0ac8037e8017c8a,True,3,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,EEG_Pupil,20,200,0.61,0.61,0.60984393757503,0.7035,0.703919333392772,0.61,0.61,0.501400682650683,0.83,0.863376984126984,0.54,0.685,0.533143603151888,0.684613651723361,0.54,0.685,0.401986901986902,0.609232729076479,"0.3,0.4,0.5,0.6,0.7",cfb18ef7598671721efddd6d552bd3543d68577356a043eef37523f7750097c4,c991a122740b624725ae7ff0725bc1ce31a0cbba8aab6df7c6b9bb7a04ce2e38,True,4,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,Pupil,20,200,0.565,0.565,0.563680132400512,0.6453,0.609992549976773,0.565,0.565,0.46907856032856,0.718,0.757361111111111,0.515,0.615,0.509993552546744,0.60996099609961,0.515,0.615,0.400351620601621,0.542874039155289,"0.3,0.4,0.5,0.6,0.7",be533bb6b918ab6a200fe0fe160f72681e475af08a828fe117416475c5167221,8c7e23ef1cb8582fe0283bfe25caad9223db8539438e3ea3ac96342b15ba749f,True,5,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,ECG,20,200,0.525,0.525,0.499670836076366,0.5216,0.532359526497345,0.525,0.525,0.383333333333333,0.574,0.680662698412698,0.45,0.6,0.389090909090909,0.595959595959596,0.45,0.6,0.3,0.483333333333333,"0.3,0.4,0.5,0.6,0.7",2e92226acb86d60aebe48728e04a3c06a2fb5fa618715a44354b38938aae06e0,87d563f3578088156369fda4d0d8c62f04796edab19771c9b9a0b450505b6766,True,6,False
32,post_primary_temporal_sensitivity,within_experiment,experiment2,ECG_Pupil,20,200,0.515,0.515,0.501426331885585,0.5991,0.590676788084816,0.515,0.515,0.39581043956044,0.758,0.800924603174603,0.445,0.575,0.406401240674884,0.570262140094542,0.445,0.575,0.322916094322344,0.471864125457875,"0.3,0.4,0.5,0.6,0.7",64ea4bc0dce2656365961127e0d679dbbbf2534ba05f4e78523185117ed59876,95eb654d95d3eaee319d4b8326ad9ae31287e6f2101a116c95e144b542140c2f,True,7,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,Pupil,16,187,0.631016042780749,0.632894736842105,0.626746506986028,0.713844393592677,0.737613760848731,0.63186553030303,0.6375,0.571173924115101,0.801736111111111,0.841782407407407,0.572912971967963,0.705232267175836,0.559212072315384,0.699712648444023,0.577083333333333,0.708333333333333,0.486347246503497,0.663695191909806,"0.4,0.5,0.6,0.7",f9bc96fd9b24b900532dddb66c37198c5b05801b3261d177aabb7b76feca3111,6bc075a21ae10584888b11055e27e352cb02af081c6b9ed1014304803fa338db,True,1,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,EEG,16,187,0.614973262032086,0.614016018306636,0.613103448275862,0.6720823798627,0.638909196843733,0.617424242424242,0.617708333333333,0.523503151260504,0.846180555555556,0.877792433261183,0.557286500506073,0.678033781717544,0.542673806987138,0.675906390769474,0.557291666666667,0.683333333333333,0.432462141106443,0.619599964985994,"0.3,0.4,0.5,0.6,0.7",829a9234c53339c2b70152238540733a9606aa6d56259e96169666def80fcb9c,c55909259593bd1c027f5622a5e0ba087b343fe05523b98defbecafff340488d,True,2,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,ECG_Pupil,16,187,0.593582887700535,0.595881006864989,0.586186815746564,0.659153318077803,0.650985367669086,0.599668560606061,0.603125,0.516406183685596,0.847569444444444,0.8798318001443,0.540330913901602,0.659813598874231,0.513348280676353,0.653349163180495,0.541666666666667,0.670833333333333,0.427986359535073,0.613754972050009,"0.3,0.4,0.6,0.7",3d0678861eb8b941ff3f57c07d75fdf98ae763a56d78cf087496e2491899126b,42c9ef7328bdf9f94ece05f5a5c1a03b127936e3f3e87cc72b15fd14fe6e6a6c,True,3,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,EEG_Pupil,16,187,0.582887700534759,0.58312356979405,0.582875772134523,0.687871853546911,0.713008770839615,0.591856060606061,0.589583333333333,0.489955510176098,0.802777777777778,0.83772095959596,0.507450657894737,0.663293948487122,0.501238350873377,0.65886237710392,0.510416666666667,0.673958333333333,0.387455028886555,0.603626877870903,"0.3,0.4,0.5,0.6,0.7",884925ab32099cfec8df2c678238fa1852a2cb3f5729d2d9c4cfc87473c52efb,94108af913ed2d872e46a496c872bb074463963be13eaf8e3e953f084d80fbbd,True,4,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,ECG_EEG_Pupil,16,187,0.582887700534759,0.582437070938215,0.582302405498282,0.694050343249428,0.695866226474065,0.583570075757576,0.572916666666667,0.463705004146181,0.860243055555556,0.868585031866282,0.525039563114346,0.653689723474426,0.515957446808511,0.651406780933224,0.515625,0.645833333333333,0.380854521295698,0.563171648612825,"0.3,0.4,0.5,0.6,0.7",38d23d6a230da4c96f9388c2ccbad42ac558ce924d97bf18e4d4f70b5cf6472d,121d921cbe1be2aca1f073a965ac1d07374faea37ba9a032c266868a52f72da5,True,5,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,ECG_EEG,16,187,0.566844919786096,0.565102974828375,0.560765550239234,0.642906178489702,0.614880800484676,0.562736742424242,0.567708333333333,0.450337989216666,0.824652777777778,0.858623511904762,0.496591859909156,0.642615573712507,0.479860963421571,0.638203299662758,0.505208333333333,0.640625,0.361227901999961,0.556173619578951,"0.3,0.4,0.5,0.6,0.7",7543db86dbbf166fd0c615e205761dbb4a66b5e0d6a0f08d560dbd9fb6b0d6f3,a0995244a0f792539c56486ec977fef07639f2866afd90b1943a97279fcf1ffa,True,6,False
32,post_primary_temporal_sensitivity,within_experiment,experiment3,ECG,16,187,0.454545454545455,0.452002288329519,0.439131968948483,0.469221967963387,0.486684984158535,0.458570075757576,0.451041666666667,0.338368902339491,0.442361111111111,0.582085888648389,0.381658293096044,0.506237222501587,0.352870396757544,0.498876117768237,0.383333333333333,0.503125,0.287402874902875,0.386139514080691,"0.3,0.4,0.5,0.6,0.7",3d0a99f3895705ebcf9162c718da5602f8afbf93d2a1225e9c47b4aa6cf0ebf8,8152973ddc547fbdd73c01d2c91128d4b7aa59a01539d406db452c2becd4883e,True,7,False
