duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,primary_four_second_392_recording_analysis_replaced
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.663101604278075,0.660869565217391,0.655375164545853,0.699713958810069,0.641166355323725,0.661695075757576,0.651041666666667,0.570721037540891,0.801736111111111,0.832497294372294,0.58581560283688,0.743625687305761,0.561287751808471,0.741162802144547,0.578125,0.734375,0.466817781636256,0.682706415061654,0.4,1f8b049f6fd7aacab3d675ed82a0519049d200fdb03527577214899fddd203ba,184c26b98563bdcc62c45fd5a1f9337cdf4530b5fe0c13a8e4994e49ded0dec7,True,1,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.6524064171123,0.650686498855835,0.647527910685805,0.645080091533181,0.628324573644866,0.647017045454545,0.653125,0.55305454349572,0.793055555555556,0.853617273929774,0.555568149623238,0.753091509344012,0.540678702017942,0.74867505371809,0.564583333333333,0.751041666666667,0.426654197518168,0.688357837015925,0.5,3ef6a668ab7666b02f96d7bd74077264012ebd511e0a5e1a8dd6f3ad9c1951f2,d5233a0246c35c62325b179ad56c0df728226bafba94ac9c36df057070cce7f2,True,2,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.60427807486631,0.606922196796339,0.59452648851383,0.662585812356979,0.655287941952659,0.604876893939394,0.611458333333333,0.529651231121819,0.817361111111111,0.856349957912458,0.549885488853184,0.67087929264651,0.519946881363355,0.661778102721398,0.552083333333333,0.673958333333333,0.447803640905663,0.615119121075003,0.5,426ff73dca08004ad397bbf050f2ee001434160b50ff726817beee5014d67bd2,695d184e60a31f129d58f896fea7d0b29c24f9b606a553df7d1fe4d754018c14,True,3,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.598930481283422,0.603203661327231,0.570641359253023,0.67837528604119,0.696896325028687,0.598721590909091,0.59375,0.48181969684727,0.765277777777778,0.830448908730159,0.530220713073005,0.68811544991511,0.455813399066662,0.673338394265752,0.520833333333333,0.677083333333333,0.381928943452381,0.602362792308794,0.6,417a3aa3e8e4e47dc5bc16a3a76125a9baeac780b287f95fd3726f30c4478f44,72d74f44eeceef5288ba34c91f4a0a20935bca55b5fb6336e3e59b978008c75b,True,4,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.593582887700535,0.595537757437071,0.58839202965709,0.648627002288329,0.656223802045495,0.594460227272727,0.598958333333333,0.511807677616501,0.725,0.789363576238576,0.526041666666667,0.677083333333333,0.502644833084164,0.673536096256684,0.529166666666667,0.679166666666667,0.414443767017296,0.621663232600733,0.7,0f85534966b2c293e6e1b0d0c8666007e44919151efcb2497cd07b2465c82d97,c9035e81a1d3ca024c681ceea704bf4e8d2afd23452d0c534c8637c7924643d0,True,5,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.582887700534759,0.585869565217391,0.569480519480519,0.611670480549199,0.649378582554837,0.583096590909091,0.578125,0.452696695665446,0.848611111111111,0.871040013227513,0.517945590784126,0.674875010519267,0.464368966666438,0.664198048602533,0.505208333333333,0.666666666666667,0.358480235042735,0.570187538156288,0.4,be1ff55033883af59d9560fc5ca1e3858b9b7d9fa90fbfb82d5201c681d9d4cc,d5dcafb64740affa54bd4c819d0a499b47b6f360cbc59b66ad1afd3d2360e6d5,True,6,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.508021390374332,0.508237986270023,0.508007320979181,0.500686498855835,0.526017475901229,0.510179924242424,0.505208333333333,0.377463268961431,0.472916666666667,0.616233540764791,0.456116275743707,0.558746462931522,0.444777745540671,0.554675903018308,0.453125,0.552083333333333,0.324979967948718,0.440078377504848,0.4,d4e9f909f805ef83bb26b85f78e8bcdfbb3a14d32fff5b029b58e4dbffc15e31,9e15a1b189b7c851e0127ae989b5afa8779f113110e43eb777ac231f1e684f1a,True,7,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,EEG,20,200,0.65,0.65,0.649439102564103,0.6582,0.635542923954111,0.65,0.65,0.570076867576868,0.776,0.824996031746032,0.585,0.715,0.580364278672363,0.714937285924959,0.585,0.715,0.475226960539461,0.66600306984682,0.5,fe4c974c0c1ca3487c3622e060001cc2bd8e8fd46e8c10caf8cea9a2483e9228,6872b57a1ec8e36bb2fb91cbe6fcb2ba9c0dd2c10858d74d792977647882030c,True,1,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,EEG_Pupil,20,200,0.59,0.59,0.585858585858586,0.6329,0.620241728188987,0.59,0.59,0.488209706959707,0.8,0.823063492063492,0.525,0.66,0.505494505494505,0.657822879209576,0.525,0.66,0.401292925824176,0.585126488095238,0.7,7cd2a14277574372e2d7857b241738fa841591f680a6043f4a25a22b6221d890,5d9d7a564b504d122fe68177edea468b21c63da388486f2b65c7330094bb1d63,True,2,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,0.58,0.58,0.571603427172583,0.6335,0.572962982012433,0.58,0.58,0.463653707403707,0.758,0.814,0.53,0.635,0.503748284236089,0.628224389498612,0.53,0.635,0.388278388278388,0.545109838078588,0.7,b8978630b85070aff5816487e6f804aa2464ef432c79b9b5e096a4fff096877d,0482aff70479f849f02bdd1492226f4ea41589c44c67bc0753e0d693b6533f1c,True,3,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG_Pupil,20,200,0.575,0.575,0.572595851665619,0.6275,0.598729320688113,0.575,0.575,0.456793900543901,0.806,0.841452380952381,0.53,0.63,0.511679403629037,0.629851940776311,0.53,0.63,0.382623626373626,0.544762338356088,0.7,918087559e54cf168892c1b75dece03f6088a1f69723a611161c11dc684050f3,71d3d89fedd28cce2a85b1335c85ef2f290bdf4e623d354faa2b6153aa5fb9ec,True,4,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG,20,200,0.55,0.55,0.54995499549955,0.5,0.507513344670193,0.55,0.55,0.439500777000777,0.502,0.619555555555556,0.47,0.64,0.462073815562188,0.638227313837805,0.47,0.64,0.345444139194139,0.550812815656565,0.6,7dfc625dfe481d2f1b212c5c735eed00920ec1dfd363d71614fce3638850d134,e3ddd2e01144868d4e3b7eb12538b51b631be67c6bd27e740702c80b372d7b3d,True,5,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,Pupil,20,200,0.535,0.535,0.432494279176201,0.6649,0.664057723270213,0.535,0.535,0.394551282051282,0.728,0.775833333333333,0.5,0.58,0.344349150634127,0.515538843821495,0.5,0.58,0.339194139194139,0.465499084249084,0.7,318c5147e132aace80c095acff42ec7613ebfd10f487b5cba9b786cb2a141385,08a2b900a8509172a7bc80453758e7027f5bf1470938288e0eeeb60c84a9f3eb,True,6,False
16,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_Pupil,20,200,0.535,0.535,0.534056464340289,0.5675,0.558801002564412,0.535,0.535,0.431799450549451,0.694,0.764277777777778,0.445,0.62,0.44,0.618637571447688,0.445,0.62,0.339464285714286,0.532766712454212,0.5,eca7bfeef61f28f8054299e953602b314dccd837fae983cb495d185b6c0e3bb0,dacb38cbcc360c72e84b67a813e8b64af9b06fba3fb289f45ab9ae5c9ca693d3,True,7,False
16,post_primary_temporal_sensitivity,within_experiment,experiment2,ECG_EEG,20,200,0.685,0.685,0.684803001876173,0.66515,0.678521578574637,0.685,0.685,0.620676684426684,0.663,0.747662698412698,0.61,0.76,0.608589886246088,0.759976597659766,0.61,0.76,0.520724098817849,0.721107104700855,"0.3,0.4,0.5,0.6,0.7",c19536c10c99bb370f7c17246716f0067d61b5c9ab90a7ece834e0b12a712e17,c118890c39e6e6d6a3e37ef65b68267d6faf7c82990f30f9b9de1f02352b4ee0,True,1,False
16,post_primary_temporal_sensitivity,within_experiment,experiment2,EEG,20,200,0.62,0.62,0.616896864603287,0.6662,0.646421563141717,0.62,0.62,0.524619824619825,0.728,0.767928571428571,0.565,0.685,0.549594635171655,0.680796045843749,0.565,0.685,0.436630036630037,0.613571428571428,"0.3,0.4,0.5,0.6,0.7",08b257f7660672c980c963dbf0689271cbbecd8b8725c15d72355efb0f22dc88,a9ab8d7d12e66adace31f5f870a57bd3f16a4edd2608cc9ff4031035d79fc1c3,True,2,False
