duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,temporal_role,primary_four_second_392_recording_analysis_replaced,reference_04s_balanced_accuracy,reference_04s_macro_f1,reference_04s_roc_auc,reference_04s_pr_auc,delta_balanced_accuracy_vs_04s,delta_macro_f1_vs_04s,delta_roc_auc_vs_04s,delta_pr_auc_vs_04s,temporal_descriptive_rank_within_setting_duration
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.636363636363636,0.634382151029748,0.629746098299557,0.695766590389016,0.702158276071555,0.636126893939394,0.627083333333333,0.547331732809674,0.786111111111111,0.837411691317941,0.567839324874687,0.71181016222858,0.549363116458705,0.710007464706629,0.5625,0.703125,0.455716109360411,0.649445293268823,0.4,3183802b56c9f1765654521127b5184f11bb57f6c91d2bdafe9c287689d1ecfe,f8e88f64e63defdcf37f56cf7fd6888ff65cbe90381dfe88d0abc3f3316d0b76,True,4,post_primary_temporal_sensitivity,False,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,-0.011441647597254,0.011111574816161,0.028260869565217,0.0213438422129441,4
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.631016042780749,0.629462242562929,0.626746506986028,0.647368421052632,0.608117747911608,0.625710227272727,0.63125,0.535382632073809,0.783333333333333,0.827844291125541,0.55560794111326,0.708333333333333,0.538124892120755,0.705979317851959,0.5625,0.705208333333333,0.431931032356124,0.647135813022762,0.5,ed14d97f812efb983663dc4c6e427fcca9b11d601b0c1428f8b9417cabe74c91,052871fc3857fca5b54640fab792cb168df59cdcabdc3bd0331954328c083d4a,True,5,post_primary_temporal_sensitivity,False,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,-0.0135583524027459,0.00570745024321295,-0.007437070938215,-0.023875035735208,5
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.572192513368984,0.574313501144165,0.565621370499419,0.622997711670481,0.65033875450796,0.572679924242424,0.567708333333333,0.440143496209673,0.886458333333333,0.909850739538239,0.509941520467836,0.660411899313501,0.478749000936172,0.654635313652235,0.505208333333333,0.65625,0.353202939829778,0.554690407631584,0.4,097d4426e742bda0a88c48950155768c89d08f4313e25668cb46df4ffc2a9cdb,d409fd8a746251f878fda327185f5dbf087eca82b153219477b48a2db0bb1f35,True,6,post_primary_temporal_sensitivity,False,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,0.018192219679634,0.00952241440046298,0.053318077803204,0.0462067994139209,6
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.491978609625668,0.490217391304348,0.484848484848485,0.489244851258581,0.519753260013318,0.494554924242424,0.489583333333333,0.36362819166128,0.443055555555556,0.585868130711881,0.426596077211916,0.538702007486337,0.40313055716177,0.534706134706135,0.427083333333333,0.536458333333333,0.308428801207983,0.41716884410014,0.3,3c8576069461fc7376c678a7f1c5e2386d3cf5794f2d88c89447faeeeb22b956,6c7257b949df38e50288978eb20c7459465673609a7ae42bcf30f9748e8d2649,True,7,post_primary_temporal_sensitivity,False,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,-0.020766590389016,-0.00735930735930701,-0.036613272311213,-0.017973943317763,7
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.663101604278075,0.660869565217391,0.655375164545853,0.699713958810069,0.641166355323725,0.661695075757576,0.651041666666667,0.570721037540891,0.801736111111111,0.832497294372294,0.58581560283688,0.743625687305761,0.561287751808471,0.741162802144547,0.578125,0.734375,0.466817781636256,0.682706415061654,0.4,1f8b049f6fd7aacab3d675ed82a0519049d200fdb03527577214899fddd203ba,184c26b98563bdcc62c45fd5a1f9337cdf4530b5fe0c13a8e4994e49ded0dec7,True,1,post_primary_temporal_sensitivity,False,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.063615560640732,0.0823158038152589,0.00474828375286107,-0.050223643761115,1
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.6524064171123,0.650686498855835,0.647527910685805,0.645080091533181,0.628324573644866,0.647017045454545,0.653125,0.55305454349572,0.793055555555556,0.853617273929774,0.555568149623238,0.753091509344012,0.540678702017942,0.74867505371809,0.564583333333333,0.751041666666667,0.426654197518168,0.688357837015925,0.5,3ef6a668ab7666b02f96d7bd74077264012ebd511e0a5e1a8dd6f3ad9c1951f2,d5233a0246c35c62325b179ad56c0df728226bafba94ac9c36df057070cce7f2,True,2,post_primary_temporal_sensitivity,False,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,0.00766590389015998,0.0264888539429899,-0.00972540045766601,-0.00366821000194995,2
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.60427807486631,0.606922196796339,0.59452648851383,0.662585812356979,0.655287941952659,0.604876893939394,0.611458333333333,0.529651231121819,0.817361111111111,0.856349957912458,0.549885488853184,0.67087929264651,0.519946881363355,0.661778102721398,0.552083333333333,0.673958333333333,0.447803640905663,0.615119121075003,0.5,426ff73dca08004ad397bbf050f2ee001434160b50ff726817beee5014d67bd2,695d184e60a31f129d58f896fea7d0b29c24f9b606a553df7d1fe4d754018c14,True,3,post_primary_temporal_sensitivity,False,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0.0396453089244849,0.0696281145300901,-0.041990846681923,-0.0285611708681589,3
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.598930481283422,0.603203661327231,0.570641359253023,0.67837528604119,0.696896325028687,0.598721590909091,0.59375,0.48181969684727,0.765277777777778,0.830448908730159,0.530220713073005,0.68811544991511,0.455813399066662,0.673338394265752,0.520833333333333,0.677083333333333,0.381928943452381,0.602362792308794,0.6,417a3aa3e8e4e47dc5bc16a3a76125a9baeac780b287f95fd3726f30c4478f44,72d74f44eeceef5288ba34c91f4a0a20935bca55b5fb6336e3e59b978008c75b,True,4,post_primary_temporal_sensitivity,False,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,-0.042620137299771,-0.047993164230373,0.010869565217391,0.0160818911700761,4
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.593582887700535,0.595537757437071,0.58839202965709,0.648627002288329,0.656223802045495,0.594460227272727,0.598958333333333,0.511807677616501,0.725,0.789363576238576,0.526041666666667,0.677083333333333,0.502644833084164,0.673536096256684,0.529166666666667,0.679166666666667,0.414443767017296,0.621663232600733,0.7,0f85534966b2c293e6e1b0d0c8666007e44919151efcb2497cd07b2465c82d97,c9035e81a1d3ca024c681ceea704bf4e8d2afd23452d0c534c8637c7924643d0,True,5,post_primary_temporal_sensitivity,False,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,-0.036441647597254,-0.016209960392661,-0.0240274599542339,0.015296616949759,5
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.582887700534759,0.585869565217391,0.569480519480519,0.611670480549199,0.649378582554837,0.583096590909091,0.578125,0.452696695665446,0.848611111111111,0.871040013227513,0.517945590784126,0.674875010519267,0.464368966666438,0.664198048602533,0.505208333333333,0.666666666666667,0.358480235042735,0.570187538156288,0.4,be1ff55033883af59d9560fc5ca1e3858b9b7d9fa90fbfb82d5201c681d9d4cc,d5dcafb64740affa54bd4c819d0a499b47b6f360cbc59b66ad1afd3d2360e6d5,True,6,post_primary_temporal_sensitivity,False,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,0.02974828375286,0.013381563381563,0.041990846681922,0.045246627460798,6
16,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.508021390374332,0.508237986270023,0.508007320979181,0.500686498855835,0.526017475901229,0.510179924242424,0.505208333333333,0.377463268961431,0.472916666666667,0.616233540764791,0.456116275743707,0.558746462931522,0.444777745540671,0.554675903018308,0.453125,0.552083333333333,0.324979967948718,0.440078377504848,0.4,d4e9f909f805ef83bb26b85f78e8bcdfbb3a14d32fff5b029b58e4dbffc15e31,9e15a1b189b7c851e0127ae989b5afa8779f113110e43eb777ac231f1e684f1a,True,7,post_primary_temporal_sensitivity,False,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,-0.00274599542334097,0.015799528771389,-0.025171624713959,-0.011709727429852,7
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.668449197860963,0.665274599542334,0.65337239894762,0.680892448512586,0.626253034506983,0.664299242424242,0.655208333333333,0.575108010861687,0.811805555555556,0.845430495430495,0.578119274527187,0.75844572368421,0.541254299562226,0.754995058149842,0.567708333333333,0.748958333333333,0.45676281056566,0.697706516828759,0.4,fa6dba1c787a7e239e74056706bb44a8e9680261e4f972421bbf0e677a2129b4,6563d4d9f3f47ad9dbe739a1832130b03c02662d71a35e5b37b3d3cabb9d14b5,True,1,post_primary_temporal_sensitivity,False,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.068020594965675,0.080313038217026,-0.014073226544622,-0.065136964577857,1
