protocol,evaluation,target_dataset,path,participants,recordings,windows,recording_accuracy,recording_balanced_accuracy,recording_balanced_accuracy_ci_lower,recording_balanced_accuracy_ci_upper,recording_macro_f1,recording_macro_f1_ci_lower,recording_macro_f1_ci_upper,recording_roc_auc,recording_pr_auc,participant_macro_balanced_accuracy,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_f1,participant_macro_f1_ci_lower,participant_macro_f1_ci_upper,window_balanced_accuracy_descriptive,window_macro_f1_descriptive,window_roc_auc_descriptive,window_pr_auc_descriptive,task_macro_balanced_accuracy_descriptive,task_macro_f1_descriptive,unique_selected_models,unique_selected_top_k,unique_selected_thresholds
cross_experiment,experiment2_to_experiment3,experiment3,ECG,16,192,27791,0.5052083333333334,0.5052083333333334,0.4479166666666667,0.5572916666666667,0.490146750524109,0.4058292090244762,0.5465724176622951,0.5187717013888888,0.5258018280082725,0.5052083333333334,0.4479166666666667,0.5572916666666667,0.3761162244618127,0.3164040616246498,0.4468868707885251,0.4964061937725234,0.4815747665236373,0.5161832464805165,0.5279240286183421,0.5052083333333334,0.4893835960502627,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,ECG_EEG,16,192,27791,0.6302083333333334,0.6302083333333334,0.5520833333333334,0.7135416666666666,0.5997063573630891,0.4775349671471456,0.70021015911308,0.676974826388889,0.6381902999870265,0.6302083333333334,0.5520833333333334,0.7135416666666666,0.5320687584474348,0.418446596295861,0.6494095977551859,0.6012336911150865,0.579995272607477,0.6332374581939799,0.6228029768622125,0.6302083333333334,0.5978884565143165,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,ECG_EEG_Pupil,16,192,27791,0.6354166666666666,0.6354166666666666,0.5625,0.71875,0.613215149073328,0.5078125,0.7096448975019602,0.6551649305555556,0.6527725324408219,0.6354166666666667,0.5625,0.71875,0.5505209863665745,0.4434500732111026,0.6689353737561458,0.589699032952218,0.5695857424253112,0.6269934769645589,0.6366529014442062,0.6354166666666666,0.6081138017980123,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,ECG_Pupil,16,192,27791,0.5520833333333334,0.5520833333333333,0.5052083333333333,0.609375,0.5520347259902334,0.4919644597944461,0.6085148030340103,0.5610894097222222,0.5779723774843626,0.5520833333333334,0.5052083333333333,0.609375,0.4253019957983193,0.3511204481792717,0.5172741596638655,0.5360334500012963,0.5356460369471006,0.5566958621762463,0.5752975055293641,0.5520833333333334,0.5511818587110578,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,EEG,16,192,27791,0.6458333333333334,0.6458333333333334,0.5625,0.734375,0.6222222222222222,0.499230116582346,0.7265086227741827,0.6611328125,0.6298136222787114,0.6458333333333334,0.5625,0.734375,0.5533088235294118,0.4348214285714286,0.6780527836134453,0.5971470845972362,0.5791818392579268,0.6271251121308755,0.5980577276535638,0.6458333333333334,0.621602727486525,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,EEG_Pupil,16,192,27791,0.59375,0.59375,0.5364583333333334,0.6614583333333333,0.5733333333333333,0.471405330997372,0.6553209963853528,0.6866319444444445,0.6806041495202341,0.59375,0.5364583333333333,0.6614583333333334,0.5052813301894183,0.418063433706816,0.6034433195991099,0.5970653573928599,0.5795648721920168,0.6531222861735501,0.6478954367232888,0.59375,0.5729203697624751,1,1,1
cross_experiment,experiment2_to_experiment3,experiment3,Pupil,16,192,27791,0.5625,0.5625,0.5208333333333334,0.609375,0.5151515151515151,0.4234623300381254,0.5866701110824076,0.706271701388889,0.6806788359616642,0.5625,0.5208333333333334,0.609375,0.4475694444444444,0.3765234375000001,0.5293489583333333,0.588404607088227,0.5741810174974178,0.6271702807808975,0.6101834644771638,0.5625,0.5133044733044733,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,ECG,20,200,24040,0.48,0.48,0.39,0.5700000000000001,0.4724025974025974,0.3664682145874836,0.563154327031709,0.4899999999999999,0.5120377885273426,0.48,0.39,0.5700000000000001,0.3569826007326007,0.273076923076923,0.4569923305860804,0.4960066555740433,0.4907344997842461,0.5012460652102293,0.4968412840654063,0.48,0.4722436642641246,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,ECG_EEG,20,200,24040,0.57,0.5700000000000001,0.495,0.655,0.5647332725984411,0.4766359427653007,0.648735447611401,0.6142,0.5703355076745652,0.5700000000000001,0.4949999999999999,0.655,0.466020091020091,0.3729013347763348,0.5705312049062049,0.578369384359401,0.5749314193086309,0.6027316507983089,0.5576130947089122,0.57,0.5642162062788958,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,ECG_EEG_Pupil,20,200,24040,0.615,0.615,0.54,0.7,0.6098401357959008,0.5225694444444444,0.6949328849372368,0.6238,0.5885067521765176,0.615,0.54,0.7,0.5107683982683984,0.408080808080808,0.6244241522366523,0.592720465890183,0.5904268277492214,0.606442119484719,0.5711979165083635,0.615,0.6090671925104554,1,1,1
