duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,primary_four_second_392_recording_analysis_replaced
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.689839572192513,0.688386727688787,0.686604253351826,0.708352402745995,0.650981103035064,0.687736742424242,0.677083333333333,0.608519284024799,0.823611111111111,0.847923054954305,0.602243215444503,0.776043567840974,0.588702826210454,0.775350278437836,0.593619791666667,0.765625,0.49352610815961,0.726636162933268,0.4,e2e3f5a36877ce180497eea3975937b31533aff38b4faa31da56a146fb8e569f,dc31bac05c85fd87ac86cf759b05825b54c08de8c63f88a9888a74af3015f187,True,1,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.6524064171123,0.652745995423341,0.652366652366652,0.673684210526316,0.665358718774178,0.64749053030303,0.655208333333333,0.584425582587347,0.827083333333333,0.867198397667148,0.578231831221611,0.733701871159334,0.573654247692028,0.732515945518001,0.583333333333333,0.733333333333333,0.48477728970376,0.690023047316246,0.5,351695d87af7cdd9a87a5e6fe2c52c688f25a11ab85f37bc683382e6650b1bdd,ccec8154964735238710d7b855596c162959b51fb4cfc798afe748927d0cd846,True,2,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.6524064171123,0.647940503432494,0.620784325960128,0.688100686498856,0.64618981194359,0.651278409090909,0.640625,0.543453727644904,0.805555555555556,0.840563371813372,0.559135137840311,0.743067180895372,0.476408144762193,0.736103440820364,0.557291666666667,0.734375,0.422986694677871,0.671363357843137,0.4,f63233c5311d990ee8706da9af55747b347e8d36a5570a535ae2fd4bc31a25ca,628417b70a626dc410b34af331f81669741addb2c3b23b1478a5c953f8526846,True,3,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.636363636363636,0.634382151029748,0.629746098299557,0.695766590389016,0.702158276071555,0.636126893939394,0.627083333333333,0.547331732809674,0.786111111111111,0.837411691317941,0.567839324874687,0.71181016222858,0.549363116458705,0.710007464706629,0.5625,0.703125,0.455716109360411,0.649445293268823,0.4,3183802b56c9f1765654521127b5184f11bb57f6c91d2bdafe9c287689d1ecfe,f8e88f64e63defdcf37f56cf7fd6888ff65cbe90381dfe88d0abc3f3316d0b76,True,4,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.631016042780749,0.629462242562929,0.626746506986028,0.647368421052632,0.608117747911608,0.625710227272727,0.63125,0.535382632073809,0.783333333333333,0.827844291125541,0.55560794111326,0.708333333333333,0.538124892120755,0.705979317851959,0.5625,0.705208333333333,0.431931032356124,0.647135813022762,0.5,ed14d97f812efb983663dc4c6e427fcca9b11d601b0c1428f8b9417cabe74c91,052871fc3857fca5b54640fab792cb168df59cdcabdc3bd0331954328c083d4a,True,5,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.572192513368984,0.574313501144165,0.565621370499419,0.622997711670481,0.65033875450796,0.572679924242424,0.567708333333333,0.440143496209673,0.886458333333333,0.909850739538239,0.509941520467836,0.660411899313501,0.478749000936172,0.654635313652235,0.505208333333333,0.65625,0.353202939829778,0.554690407631584,0.4,097d4426e742bda0a88c48950155768c89d08f4313e25668cb46df4ffc2a9cdb,d409fd8a746251f878fda327185f5dbf087eca82b153219477b48a2db0bb1f35,True,6,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.491978609625668,0.490217391304348,0.484848484848485,0.489244851258581,0.519753260013318,0.494554924242424,0.489583333333333,0.36362819166128,0.443055555555556,0.585868130711881,0.426596077211916,0.538702007486337,0.40313055716177,0.534706134706135,0.427083333333333,0.536458333333333,0.308428801207983,0.41716884410014,0.3,3c8576069461fc7376c678a7f1c5e2386d3cf5794f2d88c89447faeeeb22b956,6c7257b949df38e50288978eb20c7459465673609a7ae42bcf30f9748e8d2649,True,7,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,EEG,20,200,0.61,0.61,0.606815203145478,0.63515,0.621546230505755,0.61,0.61,0.524509518259518,0.774,0.829801587301587,0.54,0.68,0.529239460194581,0.67996799679968,0.54,0.68,0.433038211788212,0.622267437423687,0.5,3b2889282ed20817660ff08bb5a8dd33b597504a2c52767d0b871d1798c46d4e,91e6df5d1a1f12c7ebecaec7ee7c3d07a2589588cdd86f562353a50b71270502,True,1,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG,20,200,0.58,0.58,0.578482537133681,0.6043,0.570537116034687,0.58,0.58,0.461675685425685,0.704,0.781452380952381,0.505,0.665,0.495916927109588,0.664589121674051,0.505,0.665,0.365702380952381,0.578881268037518,0.7,9910acf429e9a8012b11de0f9afa4df77949da5c00005d6eee856511bae1d1a4,1b4d8a338f1882d1dd7f0fea14f2014d52318f5a2357dae04f47377776cd63ef,True,2,False
8,post_primary_temporal_sensitivity,cross_experiment,experiment3_to_experiment2,ECG_EEG_Pupil,20,200,0.56,0.56,0.56,0.6073,0.58973636431236,0.56,0.56,0.448684648684649,0.808,0.834654761904762,0.505,0.625,0.498183975111,0.623408902613542,0.505,0.625,0.374978354978355,0.537498612498612,0.7,88b2352f95bbf0af90d7d4eb0e6e224aa929c05b9edafc9d6162be5bd06d710f,520e09fefbeb1d4884e5f808c090157351adf3e584910c97c36e8bd08d5571e9,True,3,False
