model,path,n_operations,training_wall_seconds_mean,training_wall_seconds_median,training_wall_seconds_min,training_wall_seconds_max,total_parameters_mean,total_parameters_median,total_parameters_min,total_parameters_max,trainable_parameters_mean,trainable_parameters_median,trainable_parameters_min,trainable_parameters_max
MultibranchTCN,ECG,492,20.852456201828748,8.987735700007761,0.3186936999554746,220.0480779999998,27699.939024390245,27715.0,27650.0,27715.0,21155.548780487807,27715.0,195.0,27715.0
MultibranchTCN,ECG_EEG,492,42.618936797967926,27.1806186499889,0.5232189999660477,335.29766059999747,55379.939024390245,55395.0,55330.0,55395.0,42253.10975609756,55395.0,195.0,55395.0
MultibranchTCN,ECG_EEG_Pupil,258,97.57990805620102,83.4256010500103,15.573488099966198,660.3111802000021,82822.27906976744,82851.0,82786.0,82851.0,82822.27906976744,82851.0,82786.0,82851.0
MultibranchTCN,ECG_Pupil,258,57.97996386744098,55.07571579999058,9.396692500042263,296.2458877000008,55142.27906976744,55171.0,55106.0,55171.0,55142.27906976744,55171.0,55106.0,55171.0
MultibranchTCN,EEG,492,27.74064161930782,18.65766959998291,0.3402989000314846,181.76592640000035,27923.939024390245,27939.0,27874.0,27939.0,21326.280487804877,27939.0,195.0,27939.0
MultibranchTCN,EEG_Pupil,258,73.21556322325607,58.90104429998246,11.132017099997029,441.10773900000095,55366.27906976744,55395.0,55330.0,55395.0,55366.27906976744,55395.0,55330.0,55395.0
MultibranchTCN,Pupil,258,36.08174292906692,23.62597349996213,2.799241499975324,193.04261080000103,27686.279069767443,27715.0,27650.0,27715.0,27686.279069767443,27715.0,27650.0,27715.0
ShallowConvNet,EEG,492,7.504384060365578,5.039429949974874,0.1783647999982349,71.93923339999674,22658.378048780487,15563.0,5562.0,61643.0,22439.59756097561,14643.0,5562.0,61643.0
