rank,model,path,seed,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
15,MultibranchTCN,EEG_Pupil,3407,13,13,1,0.5260273265819916,0.19700726484169143,0.2323943661971831,0.8319327731092437,0.43543208419306256,0.0909033775947849,0.3103448275862069,0.5671241830065359,0.37599948512377834,0.1414535539142933,0.1379310344827586,0.5756137817206519,0.7342558802852985,0.10531348557107577,0.5530243025752974,0.9269567929745316,0.5890589282499914,0.06763587636885295,0.4799895374389655,0.7218702284858706
16,MultibranchTCN,ECG_Pupil,42,13,13,1,0.5408620547170346,0.20964518716907055,0.2394366197183098,0.8270676691729323,0.42305178387792625,0.10503895764489811,0.3281481481481481,0.5904259991216513,0.35101007470853507,0.1531219531510605,0.1379310344827586,0.5690718100556255,0.7608439759570051,0.11840726622981124,0.5898647648647648,0.9213658970246588,0.6398761441178056,0.11257229007309047,0.4446060606243822,0.828784194844293
17,MultibranchTCN,Pupil,2026,13,13,1,0.522210998993408,0.1583102314666044,0.2608695652173913,0.8235294117647058,0.4215510959547414,0.0749541114135961,0.3159945451003311,0.5462319774993225,0.363009048080388,0.1260435969267187,0.1379310344827586,0.5053485162180814,0.6337415905146699,0.15690992434985923,0.3073291909545962,0.883416464128998,0.529155075380257,0.11914371039834021,0.3062172020677384,0.7045444515745056
18,MultibranchTCN,Pupil,42,13,13,1,0.4878592238297094,0.18372210785618817,0.2464788732394366,0.773109243697479,0.4010818254556874,0.12140802009272517,0.1471861471861471,0.5517676767676768,0.3448778130789706,0.15492562400033763,0.1379310344827586,0.5469392293756575,0.6628915768108327,0.1496876911192655,0.4353088269754936,0.9284116513224068,0.5812176423626619,0.11795323763336925,0.369875782017705,0.8041195760798191
19,MultibranchTCN,Pupil,3407,13,13,1,0.5147715380766972,0.1595717221707079,0.2608695652173913,0.7719298245614035,0.4007752609239189,0.09438957674944767,0.304029304029304,0.5861040068201193,0.3334541495824831,0.12690159066682816,0.1379310344827586,0.5786421004950484,0.6162335114887184,0.1467518782221036,0.3880375855238545,0.8693607514269114,0.518162174744443,0.11361825378412231,0.3037116311105729,0.713625370474269
20,MultibranchTCN,ECG_Pupil,3407,13,13,1,0.47462707694010337,0.18474535260956304,0.2608695652173913,0.8235294117647058,0.3892492107926783,0.07898436671906314,0.2829142488716957,0.5359477124183006,0.3276508289156971,0.1391694906578084,0.1379310344827586,0.5071049840933192,0.6777631075456008,0.11301648428986848,0.5069548518238512,0.8988028241385151,0.5799545889371017,0.1042763414765302,0.4175986039629563,0.7438572863807035
21,MultibranchTCN,ECG_Pupil,2026,13,13,1,0.4518724642842741,0.18607807634836548,0.1830985915492957,0.7815126050420168,0.38866399622581227,0.08819678383669376,0.2551127033885654,0.5392270531400966,0.3081353826600077,0.12835497411542293,0.1379310344827586,0.4949765718644437,0.6772670499288689,0.16814857005495412,0.3907829824496491,0.944954128440367,0.5714635109559588,0.12432122749208226,0.3704663659762197,0.7468661145617669
22,MultibranchTCN,ECG,42,13,13,1,0.35501001685375394,0.09179141146163099,0.1869918699186991,0.5084745762711864,0.33873805932629464,0.048458858771541435,0.212962962962963,0.4313725490196078,0.19635982051249856,0.06441203374720346,0.1317060767861683,0.348682015348682,0.5258358264632557,0.10732621699978744,0.3490543265824165,0.693454715219421,0.396578122399746,0.06263836499426358,0.2906078037876007,0.4990652029854955
23,MultibranchTCN,ECG,3407,13,13,1,0.3557430466277097,0.06699155728210425,0.2764227642276423,0.423728813559322,0.33023778216085914,0.00690152290714669,0.3148148148148148,0.3333333333333333,0.17398645263350557,0.024723876057963255,0.1443736730360934,0.1984126984126984,0.40238597022888317,0.19989609021562305,0.0850420168067227,0.7181548625197206,0.3520224132402369,0.09660756206164048,0.2494908220518115,0.5434537157060612
24,MultibranchTCN,ECG,2026,13,13,1,0.27027460160986405,0.08163767514284914,0.0169491525423728,0.3611111111111111,0.2968991772837927,0.09484514766672049,0.0133333333333333,0.3472222222222222,0.14968333268606074,0.05007233852266177,0.016260162601626,0.2560843198008527,0.39518487888512627,0.12832891374114225,0.2165452847805789,0.6814856397019318,0.34302021661450294,0.062130915075684766,0.2681097111131549,0.4732785429988593
