rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,ECG_EEG_Pupil,45,15,3,0.8554033256853213,0.021115405382542175,0.7939262472885033,0.9023861171366594,0.8404784400529579,0.023197107057920607,0.7589251229418464,0.896351433686025,0.8402556514757655,0.023410019457794477,0.7643076956170081,0.8960001568611168,0.954169533209873,0.011571187018631792,0.9236499779119364,0.9712567426130146,0.9074047088629537,0.022758412951946874,0.8384413249380578,0.9405034406606666
2,MultibranchTCN,EEG_Pupil,45,15,3,0.8469226924758378,0.016739196727865613,0.7939262472885033,0.8741865509761388,0.8311240720272501,0.018258162450645914,0.7790406804873228,0.8600695460930446,0.8302614191996129,0.01828964055002698,0.7769118634072146,0.8605192518439165,0.9509067377312411,0.009911773270162651,0.918656853577682,0.970850626031896,0.9006328591406702,0.020401778885001543,0.8297098349478621,0.937244596419779
3,MultibranchTCN,EEG,45,15,3,0.8209820680408914,0.021169503737251093,0.7677224736048266,0.8627450980392157,0.8088563288563289,0.023224620891921857,0.747985347985348,0.8532356532356532,0.8090071645649021,0.023831198061734903,0.7469489975150353,0.8541670612824932,0.9409442873260537,0.011340023836822484,0.9095452031349468,0.9610028385669412,0.8801873663287914,0.02296283692202803,0.8209500238724896,0.9228121533570728
4,ShallowConvNet,EEG,45,15,3,0.8021786492374725,0.01862040100265206,0.7616892911010558,0.8431372549019608,0.7862867996201328,0.018732573626874652,0.747985347985348,0.8275946275946277,0.7875892369045651,0.019783567186296362,0.7483231329445181,0.8307387274019179,0.9294978576571985,0.008162047646092825,0.9013209250388736,0.9413595900775388,0.8621374869096925,0.016774158014436973,0.8028904840825906,0.8838808775951917
5,MultibranchTCN,ECG_EEG,45,15,3,0.7727836433718787,0.06723433987970696,0.6802413273001509,0.8687782805429864,0.7541663274996607,0.07599565355587747,0.6498168498168497,0.864957264957265,0.7451543063364268,0.08472538292556717,0.6254963639024886,0.8629541969761801,0.9098788275141552,0.04178102312798457,0.840711259301003,0.9661010404600148,0.8096105530523984,0.09242322467310134,0.68229225778443,0.9323803805942724
6,MultibranchTCN,ECG_Pupil,45,15,3,0.7361526639183907,0.04529800519798222,0.5822510822510822,0.8177874186550976,0.726716255690364,0.048455529301442264,0.5524968968287796,0.8050089423434107,0.7213537400750324,0.04821388729559466,0.5506055537762594,0.802735621091141,0.8920517256987682,0.03480352159067226,0.7678136782487516,0.9355037355317584,0.8101422362348492,0.05919935259089222,0.6185846389793236,0.8827436579577627
7,MultibranchTCN,Pupil,45,15,3,0.655827879038291,0.03690232594426065,0.561822125813449,0.7331887201735358,0.6180848751012593,0.03993339762971107,0.5143188197582739,0.6982051351437786,0.6212738029140521,0.04155391237777071,0.5096285882017985,0.707987987987988,0.8057497060389762,0.025827083161626095,0.7282372296307124,0.8485045937676864,0.6738092140439746,0.043371399300815086,0.5465893424831766,0.7559445546929197
8,MultibranchTCN,ECG,45,15,3,0.330316742081448,0.03448600865893451,0.2850678733031674,0.4117647058823529,0.34038800705467376,0.015143746766434749,0.3089133089133089,0.3824175824175824,0.24893848615617928,0.04541783621116125,0.1690057114918772,0.3413977788861792,0.49668470339410503,0.015000975039346763,0.4709571292904626,0.5327523141625706,0.33888383385479526,0.010260702032352577,0.3246078178870827,0.3622902434610531
