rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,39,13,3,0.6579279808404506,0.11696368890614572,0.328125,0.817351598173516,0.6463975141023715,0.10022294953889078,0.3756613756613756,0.7934801160607612,0.6190854803463115,0.13423016002041036,0.2314308979199052,0.7953042328042329,0.8695951036592838,0.05837358241610895,0.7513888888888888,0.930200524286546,0.7495071128536204,0.08808555735493853,0.578188031040613,0.8480616863820932
2,MultibranchTCN,ECG_EEG,39,13,3,0.5937582959389969,0.13658105337029172,0.2831050228310502,0.8356164383561644,0.5581319489365467,0.1411737616783707,0.3024406895374637,0.8095238095238094,0.4973467953443958,0.17059876193485118,0.2028985507246377,0.8111061324387617,0.8125751011252171,0.10451379342712012,0.5593750000000001,0.9522227973314928,0.6826893973505396,0.12334439481136579,0.4262737161675183,0.9385772779592384
3,MultibranchTCN,EEG,39,13,3,0.5726179737309874,0.14660499842360325,0.1862745098039215,0.8125,0.5417645758023957,0.15778098289436024,0.2066353187042842,0.8505291005291005,0.4906282710322802,0.18464363613802845,0.177946145418901,0.8225529877703791,0.7930435543558376,0.10986292777400666,0.4932133092855814,0.9814814814814816,0.6567531685924001,0.11999185570421086,0.3720253178613604,0.9485846494559148
4,MultibranchTCN,ECG,39,13,3,0.2992750895022249,0.09800354460824395,0.1136363636363636,0.546875,0.31262838975111873,0.07420493755537866,0.1222051544632189,0.4761904761904761,0.16795828927194875,0.0659865248633832,0.0793650793650793,0.4062745098039215,0.43431726706600715,0.15740260140323692,0.1243055555555555,0.7386272141706924,0.3695147388825376,0.08444617061173182,0.242720375960349,0.553343094527305
