rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,39,13,3,0.6457277883775162,0.1530983346738319,0.2368421052631578,0.8636363636363636,0.6388164624747809,0.13357765108475655,0.3,0.8434385382059801,0.5962283654236598,0.17553544287980255,0.1304347826086956,0.8436051757568777,0.8669175701841574,0.07869643456761335,0.7169973544973546,0.9421936171291314,0.7656756303772012,0.12051931171453231,0.5296727127325683,0.8809415189564161
2,MultibranchTCN,ECG_EEG,39,13,3,0.5946742777958749,0.13786026388863135,0.2626262626262626,0.8383838383838383,0.5541132997394177,0.14357959270012352,0.2887596899224806,0.8095238095238096,0.4927364058574713,0.17414733693476586,0.2063492063492063,0.8122171945701359,0.8180699263606466,0.10020798604515889,0.5781281682342114,0.9539835164835164,0.686153704577336,0.12339008008613249,0.4520359791607187,0.9440506079418268
3,MultibranchTCN,EEG,39,13,3,0.5793280188924472,0.1450280660196693,0.2111111111111111,0.8103448275862069,0.5451252545572761,0.1578383502523006,0.2383333333333333,0.8509615384615384,0.49324201180785654,0.18407527345351726,0.1979166666666666,0.8211030162249674,0.7985911134319043,0.11053352147297034,0.4845,0.9915674603174603,0.6611379568521902,0.1218309891301989,0.3766205496037848,0.975779666598165
4,MultibranchTCN,ECG,39,13,3,0.2854439504167272,0.07498298378468249,0.131578947368421,0.5344827586206896,0.3202608479442111,0.060329556879446834,0.1317829457364341,0.5016025641025641,0.16314618489358743,0.05561763975617224,0.1078431372549019,0.4120767033863728,0.4438713812498163,0.15510399848165218,0.1388227513227513,0.7152777777777777,0.3763276172830719,0.08572736629565665,0.2437339324990829,0.5664509421702405
