rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,ECG_EEG_Pupil,30,10,3,0.8525252525252525,0.0307146532915527,0.7813852813852814,0.922077922077922,0.8390440887448819,0.03300759397557832,0.7489370738001004,0.9119497343210644,0.8366810334016209,0.03393176236988479,0.7420959311947062,0.9107843679177492,0.954462105481052,0.015869179226987946,0.9121940640186568,0.9852368361369732,0.9089288765830255,0.03095743592720647,0.8193573560401538,0.9656777200648804
2,MultibranchTCN,EEG_Pupil,30,10,3,0.8424242424242425,0.02882430490379901,0.7770562770562771,0.8831168831168831,0.8299218010912112,0.029162558319357778,0.7544110530391018,0.8787383590393326,0.826391309303708,0.030715991284255503,0.7522340389669914,0.8675395624767859,0.9503411298885155,0.012037852107858207,0.919533400254219,0.9674320985616948,0.9017294258043749,0.02317387693607018,0.8397277184879673,0.9413108262136692
3,MultibranchTCN,EEG,30,10,3,0.8177476118652591,0.024340150291179297,0.7300150829562594,0.8582202111613876,0.8036921480720853,0.0250648534260867,0.7208204527291463,0.8451574360461059,0.8033220237382023,0.027827093358438713,0.703065585135743,0.8453645028216293,0.9386731528569695,0.013154664768634085,0.8842789840989106,0.9548914667165894,0.8756708670249191,0.027673889159967855,0.767632043488189,0.915788993005497
4,ShallowConvNet,EEG,30,10,3,0.8049270990447464,0.016801895653103825,0.7616892911010558,0.8401206636500754,0.7888488124869494,0.01739980696622383,0.7377277576506923,0.8156918523581393,0.7898178042182334,0.018024356771137784,0.7393120275018644,0.8235983721913716,0.9296690573478078,0.00755629941670681,0.9066826338631948,0.941633380522926,0.862692140099836,0.01477335623503965,0.8251812550494767,0.8901317211510165
5,MultibranchTCN,ECG_EEG,30,10,3,0.7695324283559579,0.07249607640339276,0.6757164404223228,0.8702865761689291,0.7507715099958977,0.08121339147866159,0.6539842775268228,0.8658169334180249,0.7408275260582102,0.09061714328033044,0.6248592699391691,0.8619425182071674,0.9092774868439054,0.043961500329723284,0.843176942860239,0.9708713462252714,0.8074412735537841,0.09702429264329493,0.6756987218976377,0.9389333963155754
6,MultibranchTCN,ECG_Pupil,30,10,3,0.7250360750360749,0.03152835461858409,0.6341991341991342,0.7727272727272727,0.7144746327024272,0.03650058025168818,0.610866355866356,0.7760952675520544,0.7086506486439852,0.03468097248896571,0.613561994221565,0.7687696540880503,0.8880232738416766,0.025128747506623403,0.8169054886750722,0.9321228735149272,0.7997648822821609,0.045374617475094484,0.6913330477338221,0.8708681099044576
7,MultibranchTCN,Pupil,30,10,3,0.6614718614718614,0.03184505538379309,0.6125541125541125,0.7294372294372294,0.6235621145143814,0.03238387523200675,0.5541445874905161,0.6883628731343284,0.6271852714438304,0.03390720705870581,0.5582591181726507,0.6965199699047337,0.8096858504707338,0.026721242823179295,0.7452779861001609,0.8622278810116871,0.6764084459502614,0.039515742390420536,0.5833277012770219,0.740089332636022
8,MultibranchTCN,ECG,30,10,3,0.32322775263951736,0.04154715127987921,0.2745098039215686,0.4132730015082956,0.337547224207585,0.01363226578838463,0.3040747394505767,0.3709279307578594,0.22814182527103208,0.04680590177385838,0.1478873239436619,0.3354740401722728,0.49472331761572563,0.018033546955316622,0.4651356762740908,0.5262641984701356,0.33919452651246396,0.010978391242967499,0.3227890226002376,0.3611848402436989
