rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,EEG,60,20,3,0.595,0.158835806918094,0.4,1.0,0.595,0.158835806918094,0.4,1.0,0.4824351574351574,0.22432525997452984,0.2857142857142857,1.0,0.7626666666666667,0.3011270730510523,0.0,1.0,0.8097843915343915,0.22724421824417718,0.3543650793650793,1.0
2,ShallowConvNet,EEG,60,20,3,0.5766666666666665,0.14885627998306108,0.5,1.0,0.5766666666666665,0.1488562799830611,0.5,1.0,0.4563746438746438,0.20857430506869098,0.3333333333333333,1.0,0.722,0.30502458917274194,0.0,1.0,0.7848108465608464,0.22598652435159325,0.3543650793650793,1.0
3,MultibranchTCN,Pupil,60,20,3,0.5633333333333334,0.10730388759865744,0.4,0.9,0.5633333333333334,0.10730388759865744,0.4,0.9,0.4534609834609835,0.16525195149423136,0.3333333333333333,0.898989898989899,0.732,0.22964083969154375,0.0,1.0,0.7742566137566136,0.17991384691141082,0.3543650793650793,1.0
4,MultibranchTCN,ECG_EEG,60,20,3,0.5633333333333334,0.1339955307459432,0.3,1.0,0.5633333333333334,0.1339955307459432,0.3,1.0,0.44671971546971545,0.19214453909642698,0.2307692307692307,1.0,0.7186666666666668,0.3283624840080773,0.0,1.0,0.7841878306878305,0.2309450606878675,0.3543650793650793,1.0
5,MultibranchTCN,EEG_Pupil,60,20,3,0.5583333333333333,0.1266138754099553,0.5,1.0,0.5583333333333333,0.1266138754099553,0.5,1.0,0.4277911902911902,0.18107896919277675,0.3333333333333333,1.0,0.7619999999999999,0.24408112016364356,0.1199999999999999,1.0,0.8003201058201058,0.19213210017935475,0.3812698412698412,1.0
6,MultibranchTCN,ECG_EEG_Pupil,60,20,3,0.5566666666666666,0.11103010229581531,0.3,0.9,0.5566666666666666,0.11103010229581531,0.3,0.9,0.4390577015577016,0.16708857309772723,0.2857142857142857,0.898989898989899,0.8033333333333333,0.21937250006623607,0.12,1.0,0.8306137566137566,0.1801825409929698,0.3805555555555555,1.0
7,MultibranchTCN,ECG_Pupil,60,20,3,0.5516666666666666,0.14670582425403736,0.2,1.0,0.5516666666666666,0.14670582425403736,0.2,1.0,0.4397785085285085,0.19398827218236706,0.1666666666666666,1.0,0.718,0.27003326850907633,0.0,1.0,0.7720687830687829,0.20660652240752006,0.3543650793650793,1.0
8,MultibranchTCN,ECG,60,20,3,0.4766666666666666,0.08707422640457281,0.0,0.6,0.4766666666666666,0.08707422640457281,0.0,0.6,0.3242658730158729,0.05771842049590909,0.0,0.5238095238095238,0.5559999999999998,0.3822999088921982,0.0,1.0,0.6686970899470899,0.25551562772071607,0.3543650793650793,1.0
