rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,Pupil,3,1,3,0.6016666666666667,0.012583057392117928,0.59,0.615,0.6016666666666667,0.012583057392117928,0.59,0.615,0.5821592288390782,0.0032698551261758145,0.5796553173602353,0.5858585858585859,0.6246666666666667,0.010104124570359098,0.6144,0.6346,0.5913494468963195,0.023261033573815405,0.5740185318356719,0.6177858138094698
2,MultibranchTCN,EEG_Pupil,3,1,3,0.5983333333333333,0.016072751268321604,0.58,0.61,0.5983333333333333,0.016072751268321604,0.58,0.61,0.5876039889305261,0.030904166258165163,0.552,0.607487922705314,0.644,0.007227032586061943,0.6356999999999999,0.6489000000000001,0.6606871892246139,0.019499165717990114,0.6383182485455552,0.674094345635141
3,MultibranchTCN,ECG_EEG_Pupil,3,1,3,0.59,0.027838821814150136,0.565,0.62,0.59,0.027838821814150136,0.565,0.62,0.5833620150416253,0.026864195836076465,0.5618342524741256,0.6134676024819449,0.6244666666666667,0.03310473279356493,0.5865,0.6473,0.6279791198391539,0.020668289918257855,0.6076302537624675,0.6489526706743345
4,MultibranchTCN,EEG,3,1,3,0.5816666666666667,0.04041451884327379,0.545,0.625,0.5816666666666667,0.04041451884327379,0.545,0.625,0.5515591839088487,0.07201069173663321,0.4750656167979002,0.6180387563341907,0.6213666666666667,0.004742713709822023,0.6161,0.6253000000000001,0.6069754379012816,0.026969667491921038,0.586629576832805,0.6375664343983252
5,MultibranchTCN,ECG_EEG,3,1,3,0.565,0.0180277563773199,0.545,0.58,0.565,0.018027756377320008,0.5449999999999999,0.5800000000000001,0.5577541134191601,0.021448469827925032,0.5352281723230929,0.5779318661441061,0.6072000000000001,0.007357309290766594,0.5988,0.6125,0.6175938302084226,0.00873898187696117,0.6112551584928341,0.6275628524492315
6,ShallowConvNet,EEG,3,1,3,0.5533333333333333,0.0256580071972344,0.525,0.575,0.5533333333333333,0.0256580071972344,0.525,0.575,0.5262368941269625,0.04004941707683353,0.4919650258028289,0.5702621400945423,0.5975,0.0017521415467934443,0.5958000000000001,0.5992999999999999,0.5902192942441185,0.01652425631423433,0.5712677188920853,0.6016132556598337
7,MultibranchTCN,ECG_Pupil,3,1,3,0.5466666666666666,0.04072263907623536,0.5,0.575,0.5466666666666666,0.04072263907623536,0.5,0.575,0.48696845110678844,0.13305365492052712,0.3333333333333333,0.5644664714274987,0.5912333333333334,0.019616659586518086,0.5705,0.6094999999999999,0.5732791780625881,0.010613103511707373,0.5641923899050729,0.5849437150893244
8,MultibranchTCN,ECG,3,1,3,0.5066666666666667,0.045368858629387346,0.465,0.555,0.5066666666666666,0.04536885862938734,0.4649999999999999,0.5549999999999999,0.44256978802084695,0.10491321069632661,0.3333333333333333,0.5425458096682172,0.5093333333333334,0.018597401252146355,0.4879,0.5212000000000001,0.5617823048104534,0.06920045726356974,0.4946533998145748,0.632883217863803
