rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,39,13,3,0.6033903016127075,0.10161418185892601,0.4067796610169492,0.8015873015873016,0.5763557239801583,0.10590959115034566,0.32,0.7838704088704089,0.5219589271550942,0.132063962141283,0.1927710843373493,0.7656226889136398,0.8263194688967263,0.07653683930482914,0.7029384884019715,0.927404295051354,0.6907199886776021,0.10748225951956424,0.5430677037855266,0.8359576710858887
2,MultibranchTCN,ECG_EEG,39,13,3,0.57979807463065,0.13788841431726223,0.2936507936507936,0.8048780487804879,0.5492178127773905,0.1439935568380451,0.3034476784476784,0.7859477124183005,0.48906200490712604,0.17425969314352277,0.1954022988505747,0.7790686208596657,0.8060259709405465,0.10322635557996679,0.5597385620915033,0.9436399719530212,0.6746903281896367,0.11327807125673334,0.4336390296777206,0.8687471097853802
3,MultibranchTCN,EEG,39,13,3,0.56077471745103,0.16030720311361601,0.2195121951219512,0.9146341463414634,0.5346502814451533,0.16875891436278884,0.2282135076252723,0.9191176470588236,0.48090350331101706,0.1997649450605731,0.1954022988505747,0.911939775910364,0.7857131500690802,0.10585804425520276,0.5023367265169157,0.9995210727969348,0.6467772371847025,0.1232228429587186,0.3769872386058748,0.998931623931624
4,MultibranchTCN,ECG_EEG_Pupil,39,13,3,0.5327004661144176,0.2039986017998062,0.1478873239436619,0.8270676691729323,0.48808883648653023,0.13770961858305955,0.2511111111111111,0.7979797979797979,0.41969829262541525,0.1716661591772363,0.1379310344827586,0.7703862032617925,0.7601328585955953,0.1066017838112149,0.542047749931235,0.9543948228810656,0.6108798674794763,0.10233070039410352,0.4157683085182055,0.9055842631403884
5,MultibranchTCN,EEG_Pupil,39,13,3,0.5152641198398046,0.18560058932048476,0.1830985915492957,0.8319327731092437,0.4410235611145974,0.09907590990513968,0.304029304029304,0.6372549019607844,0.3754246387345691,0.1411539855452278,0.1379310344827586,0.6673815481154931,0.7520991921193614,0.0897317454786637,0.5530243025752974,0.959677976344643,0.6075644572703415,0.0785723113247031,0.4792501540458313,0.9104866335818804
6,MultibranchTCN,Pupil,39,13,3,0.5082805869666048,0.1638228177585084,0.2464788732394366,0.8235294117647058,0.40780272744478263,0.09664033634157378,0.1471861471861471,0.5861040068201193,0.3471136702472805,0.13354386150383687,0.1379310344827586,0.5786421004950484,0.6376222262714071,0.14843064221377253,0.3073291909545962,0.9284116513224068,0.5428449641624541,0.11717127293109096,0.3037116311105729,0.8041195760798191
7,MultibranchTCN,ECG_Pupil,39,13,3,0.4891205319804708,0.19249433588615777,0.1830985915492957,0.8270676691729323,0.400321663632139,0.09042031823632878,0.2551127033885654,0.5904259991216513,0.32893209542807994,0.13797924286466964,0.1379310344827586,0.5690718100556255,0.7052913778104917,0.13774344510692257,0.3907829824496491,0.944954128440367,0.5970980813369555,0.11518578051889115,0.3704663659762197,0.828784194844293
8,MultibranchTCN,ECG,39,13,3,0.3270092216971093,0.0885124627038225,0.0169491525423728,0.5084745762711864,0.32195833959031556,0.06270499763999797,0.0133333333333333,0.4313725490196078,0.17334320194402159,0.051651314138003265,0.016260162601626,0.348682015348682,0.44113555852575503,0.15857762405442566,0.0850420168067227,0.7181548625197206,0.36387358408482867,0.07725312755527144,0.2494908220518115,0.5434537157060612
