rank,protocol,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
11,legacy_repeated_stratified_window_5x3,ShallowConvNet,EEG,45,15,3,0.8021786492374725,0.01862040100265206,0.7616892911010558,0.8431372549019608,0.7862867996201328,0.018732573626874652,0.747985347985348,0.8275946275946277,0.7875892369045651,0.019783567186296362,0.7483231329445181,0.8307387274019179,0.9294978576571985,0.008162047646092825,0.9013209250388736,0.9413595900775388,0.8621374869096925,0.016774158014436973,0.8028904840825906,0.8838808775951917
12,legacy_stratified_window_5fold,ShallowConvNet,EEG,15,5,3,0.7994972347913527,0.017832427588660393,0.7631975867269984,0.8220211161387632,0.7842572242572243,0.016531799141098855,0.7521367521367521,0.8041514041514043,0.7852047330639826,0.017577264814632232,0.750557559872869,0.8077475557873669,0.9245086513676256,0.009101806609242995,0.9069610114481907,0.93470043726454,0.850793832750458,0.018768036460989096,0.814635428569152,0.8738496010695007
13,legacy_stratified_window_5fold,MultibranchTCN,ECG_EEG,15,5,3,0.7799899446958268,0.06541768357197986,0.693815987933635,0.8808446455505279,0.763125763125763,0.07468444952669583,0.672039072039072,0.8737484737484738,0.7540583641315001,0.08428229635206531,0.6453499627661563,0.8742482220160791,0.9142900799738407,0.04072841682053975,0.8669432182252695,0.96566508040867,0.8170538674194263,0.09212559344132086,0.7078041083602632,0.9349180089322484
14,legacy_repeated_stratified_window_5x3,MultibranchTCN,ECG_EEG,45,15,3,0.7727836433718787,0.06723433987970696,0.6802413273001509,0.8687782805429864,0.7541663274996607,0.07599565355587747,0.6498168498168497,0.864957264957265,0.7451543063364268,0.08472538292556717,0.6254963639024886,0.8629541969761801,0.9098788275141552,0.04178102312798457,0.840711259301003,0.9661010404600148,0.8096105530523984,0.09242322467310134,0.68229225778443,0.9323803805942724
15,legacy_shuffle_split_window,MultibranchTCN,ECG_EEG,30,10,3,0.7695324283559579,0.07249607640339276,0.6757164404223228,0.8702865761689291,0.7507715099958977,0.08121339147866159,0.6539842775268228,0.8658169334180249,0.7408275260582102,0.09061714328033044,0.6248592699391691,0.8619425182071674,0.9092774868439054,0.043961500329723284,0.843176942860239,0.9708713462252714,0.8074412735537841,0.09702429264329493,0.6756987218976377,0.9389333963155754
16,legacy_repeated_stratified_window_5x3,MultibranchTCN,ECG_Pupil,45,15,3,0.7361526639183907,0.04529800519798222,0.5822510822510822,0.8177874186550976,0.726716255690364,0.048455529301442264,0.5524968968287796,0.8050089423434107,0.7213537400750324,0.04821388729559466,0.5506055537762594,0.802735621091141,0.8920517256987682,0.03480352159067226,0.7678136782487516,0.9355037355317584,0.8101422362348492,0.05919935259089222,0.6185846389793236,0.8827436579577627
17,legacy_stratified_window_5fold,MultibranchTCN,ECG_Pupil,15,5,3,0.7378025686051717,0.03759649783007704,0.6746203904555315,0.7982646420824295,0.7264722246793689,0.035382826788510895,0.6591093409562608,0.7906620368206423,0.7240718645386937,0.03523325818651348,0.6578608299944823,0.7840215907854612,0.8953096414274021,0.021762690210652313,0.8584253057207837,0.932023077356694,0.8152838696303928,0.040189885364491154,0.7371069150301596,0.890611204292001
18,legacy_shuffle_split_window,MultibranchTCN,ECG_Pupil,30,10,3,0.7250360750360749,0.03152835461858409,0.6341991341991342,0.7727272727272727,0.7144746327024272,0.03650058025168818,0.610866355866356,0.7760952675520544,0.7086506486439852,0.03468097248896571,0.613561994221565,0.7687696540880503,0.8880232738416766,0.025128747506623403,0.8169054886750722,0.9321228735149272,0.7997648822821609,0.045374617475094484,0.6913330477338221,0.8708681099044576
19,legacy_shuffle_split_window,MultibranchTCN,Pupil,30,10,3,0.6614718614718614,0.03184505538379309,0.6125541125541125,0.7294372294372294,0.6235621145143814,0.03238387523200675,0.5541445874905161,0.6883628731343284,0.6271852714438304,0.03390720705870581,0.5582591181726507,0.6965199699047337,0.8096858504707338,0.026721242823179295,0.7452779861001609,0.8622278810116871,0.6764084459502614,0.039515742390420536,0.5833277012770219,0.740089332636022
20,legacy_repeated_stratified_window_5x3,MultibranchTCN,Pupil,45,15,3,0.655827879038291,0.03690232594426065,0.561822125813449,0.7331887201735358,0.6180848751012593,0.03993339762971107,0.5143188197582739,0.6982051351437786,0.6212738029140521,0.04155391237777071,0.5096285882017985,0.707987987987988,0.8057497060389762,0.025827083161626095,0.7282372296307124,0.8485045937676864,0.6738092140439746,0.043371399300815086,0.5465893424831766,0.7559445546929197
21,legacy_stratified_window_5fold,MultibranchTCN,Pupil,15,5,3,0.6471661141943137,0.044891869871435466,0.5726681127982647,0.7245119305856833,0.6139323516488683,0.043972659135814406,0.5635331497142156,0.691975425571084,0.6159208391285271,0.04424596007179898,0.5602851080844039,0.6896014821505831,0.802213317649396,0.03043190703001708,0.7524089184921928,0.8422694981594133,0.6633206938520438,0.05330438344475493,0.5798157143981859,0.7414893738034944
22,primary_grouped_5fold,ShallowConvNet,EEG,15,5,3,0.5968191721132897,0.07371513702240591,0.5098039215686274,0.7705882352941177,0.5595696649029982,0.07881806415198343,0.452063492063492,0.7438095238095238,0.5351353155094538,0.08397481208493386,0.4133138271374607,0.7379237788256408,0.7663758363427675,0.045467635849718704,0.6937535273368608,0.8200832843425436,0.598756919114048,0.0700676828797388,0.4789813625066801,0.6602175845531596
23,primary_grouped_5fold,MultibranchTCN,ECG_EEG,15,5,3,0.5277995642701525,0.0639282448871863,0.4104575163398692,0.6196078431372549,0.5017777777777778,0.058446307988336776,0.3606349206349206,0.5828571428571429,0.472773443845318,0.07914696576933403,0.2599761866539526,0.5774414365374811,0.7355422921157492,0.045394967363560385,0.6678664021164021,0.7996799921614736,0.570951514236679,0.05072078891719096,0.5088690499806688,0.6721800954643453
24,primary_grouped_5fold,MultibranchTCN,EEG,15,5,3,0.5138562091503267,0.04031920746605017,0.4183006535947712,0.5686274509803921,0.4852557319223985,0.045322176645918456,0.3758730158730158,0.5603174603174604,0.46482865045352173,0.05905892808597966,0.3341511884402656,0.5532110837410308,0.7076634757332289,0.04660922491430478,0.5774726631393298,0.7619343523417598,0.5419563939718777,0.04928718277312622,0.3918565516901087,0.5935909857343619
25,primary_grouped_5fold,MultibranchTCN,ECG_EEG_Pupil,15,5,3,0.4892330847542683,0.1164178556420073,0.2914110429447852,0.6563573883161512,0.422247914686877,0.05219685467788612,0.3263125763125763,0.4985349461466603,0.38867552146371614,0.0602790161658542,0.2943238728337665,0.4792104399939714,0.6578323070734309,0.10821542958149602,0.4725946565992746,0.8443807661849041,0.5113907534821457,0.10059529521385775,0.3632022192554531,0.6615116291617545
26,primary_grouped_5fold,MultibranchTCN,Pupil,15,5,3,0.4786524566373782,0.10837397058594822,0.2791411042944785,0.697594501718213,0.4136320612931695,0.06999176424009815,0.3372549019607843,0.5862745098039216,0.3707513830341886,0.09570694709896725,0.2577519379844961,0.6031809863907279,0.6060187488305081,0.15465507816017057,0.3864677722847081,0.8737235183447503,0.47338950564944887,0.1380566368626876,0.3079932740297471,0.7569010686781591
27,primary_grouped_5fold,MultibranchTCN,ECG_Pupil,15,5,3,0.44434919375819715,0.1281422364806778,0.2504173622704507,0.6907216494845361,0.39672192934539413,0.06948443363953595,0.2645978231201,0.576510809451986,0.35324623032621244,0.09517664983102474,0.1782692949788931,0.6058141419234024,0.6432054294182603,0.13252007241313946,0.4685886137772321,0.8802639088860635,0.5063081366683045,0.12349447846421342,0.358524600350496,0.7839077443494645
28,primary_grouped_5fold,MultibranchTCN,EEG_Pupil,15,5,3,0.45334877836895743,0.1120154244418375,0.2760736196319018,0.6151202749140894,0.39195020823500853,0.043483517619825204,0.3317307692307692,0.4579774505571239,0.3359925936557596,0.057637902858481575,0.2607933005149097,0.42931056727097,0.6398329780317942,0.11224891201871892,0.482950928508713,0.8327713079653986,0.4947419227234697,0.09817830457886689,0.3750564238474695,0.6463324736114116
29,legacy_repeated_stratified_window_5x3,MultibranchTCN,ECG,45,15,3,0.330316742081448,0.03448600865893451,0.2850678733031674,0.4117647058823529,0.34038800705467376,0.015143746766434749,0.3089133089133089,0.3824175824175824,0.24893848615617928,0.04541783621116125,0.1690057114918772,0.3413977788861792,0.49668470339410503,0.015000975039346763,0.4709571292904626,0.5327523141625706,0.33888383385479526,0.010260702032352577,0.3246078178870827,0.3622902434610531
30,legacy_shuffle_split_window,MultibranchTCN,ECG,30,10,3,0.32322775263951736,0.04154715127987921,0.2745098039215686,0.4132730015082956,0.337547224207585,0.01363226578838463,0.3040747394505767,0.3709279307578594,0.22814182527103208,0.04680590177385838,0.1478873239436619,0.3354740401722728,0.49472331761572563,0.018033546955316622,0.4651356762740908,0.5262641984701356,0.33919452651246396,0.010978391242967499,0.3227890226002376,0.3611848402436989
31,legacy_stratified_window_5fold,MultibranchTCN,ECG,15,5,3,0.331121166415284,0.04206212323533022,0.2880844645550527,0.4117647058823529,0.33437525437525434,0.01441504596583646,0.3125763125763126,0.3582417582417582,0.2394326666394548,0.03879578248346713,0.1833203907160325,0.3404474689948258,0.4962050516751372,0.016448658088929223,0.4650608413428926,0.5277109879673982,0.33746401621760963,0.011845879069978124,0.3184758584756896,0.3635085374075039
32,primary_grouped_5fold,MultibranchTCN,ECG,15,5,3,0.32832244008714595,0.05496898373691634,0.2627450980392157,0.4117647058823529,0.33023633156966486,0.011195337582089897,0.2918518518518518,0.3403174603174603,0.18656671836851627,0.040938511180793814,0.1507334344967122,0.2756568144499179,0.49020241361290745,0.031097943778255463,0.4434671761708799,0.5785171957671958,0.3412359621632,0.02119833404734762,0.3077089726317667,0.387266765317139
