rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,ECG_EEG_Pupil,15,5,3,0.8609488125757105,0.020357417984956244,0.824295010845987,0.8980477223427332,0.8474430094357539,0.021905069564125933,0.8093532155945286,0.8836958242003347,0.8472727688059197,0.021840382933588906,0.8071810345756942,0.8859364435429344,0.9553849480367397,0.01314816725192533,0.9287446958987404,0.9732417866489323,0.9119928110255241,0.02736083382821253,0.8551560300851522,0.9438647856284726
2,MultibranchTCN,EEG_Pupil,15,5,3,0.8399974332729214,0.029732162240648695,0.7489177489177489,0.8676789587852495,0.8256611257664984,0.027795597554930152,0.7393548574614424,0.8510326951099608,0.8240406500598983,0.028615458105050687,0.7360852354131309,0.8526966141014848,0.9461307640894236,0.019739308186039306,0.8848056437080182,0.9628621941416732,0.892240154282265,0.03587939244239241,0.7896643497129684,0.9239842333448598
3,MultibranchTCN,EEG,15,5,3,0.8159879336349927,0.02666619867167417,0.7767722473604827,0.8506787330316742,0.8035327635327637,0.02730239650584008,0.757997557997558,0.8395604395604396,0.8038680246099895,0.029159546686641277,0.754571452152835,0.8412644988749726,0.938397183696329,0.011347794871550076,0.9148599501163602,0.9515505150120536,0.8755954773354792,0.025087680852653126,0.8267242780467341,0.9040499577096296
4,ShallowConvNet,EEG,15,5,3,0.7994972347913527,0.017832427588660393,0.7631975867269984,0.8220211161387632,0.7842572242572243,0.016531799141098855,0.7521367521367521,0.8041514041514043,0.7852047330639826,0.017577264814632232,0.750557559872869,0.8077475557873669,0.9245086513676256,0.009101806609242995,0.9069610114481907,0.93470043726454,0.850793832750458,0.018768036460989096,0.814635428569152,0.8738496010695007
5,MultibranchTCN,ECG_EEG,15,5,3,0.7799899446958268,0.06541768357197986,0.693815987933635,0.8808446455505279,0.763125763125763,0.07468444952669583,0.672039072039072,0.8737484737484738,0.7540583641315001,0.08428229635206531,0.6453499627661563,0.8742482220160791,0.9142900799738407,0.04072841682053975,0.8669432182252695,0.96566508040867,0.8170538674194263,0.09212559344132086,0.7078041083602632,0.9349180089322484
6,MultibranchTCN,ECG_Pupil,15,5,3,0.7378025686051717,0.03759649783007704,0.6746203904555315,0.7982646420824295,0.7264722246793689,0.035382826788510895,0.6591093409562608,0.7906620368206423,0.7240718645386937,0.03523325818651348,0.6578608299944823,0.7840215907854612,0.8953096414274021,0.021762690210652313,0.8584253057207837,0.932023077356694,0.8152838696303928,0.040189885364491154,0.7371069150301596,0.890611204292001
7,MultibranchTCN,Pupil,15,5,3,0.6471661141943137,0.044891869871435466,0.5726681127982647,0.7245119305856833,0.6139323516488683,0.043972659135814406,0.5635331497142156,0.691975425571084,0.6159208391285271,0.04424596007179898,0.5602851080844039,0.6896014821505831,0.802213317649396,0.03043190703001708,0.7524089184921928,0.8422694981594133,0.6633206938520438,0.05330438344475493,0.5798157143981859,0.7414893738034944
8,MultibranchTCN,ECG,15,5,3,0.331121166415284,0.04206212323533022,0.2880844645550527,0.4117647058823529,0.33437525437525434,0.01441504596583646,0.3125763125763126,0.3582417582417582,0.2394326666394548,0.03879578248346713,0.1833203907160325,0.3404474689948258,0.4962050516751372,0.016448658088929223,0.4650608413428926,0.5277109879673982,0.33746401621760963,0.011845879069978124,0.3184758584756896,0.3635085374075039
