rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,39,13,3,0.7185407063523355,0.13997546163112493,0.3076923076923077,0.934640522875817,0.7153853203893281,0.13716859374667914,0.2539682539682539,0.9255696782319937,0.6884848702579972,0.15720940149880244,0.2271241830065359,0.92327817178881,0.9032669952641239,0.10782817252761591,0.6777777777777777,0.9949534606010044,0.8422971208555751,0.12980739808680486,0.5828741823407516,0.98705974745447
2,MultibranchTCN,ECG_EEG,39,13,3,0.616511043556965,0.14076153159838378,0.2875816993464052,0.8604651162790697,0.5618957235240299,0.1444901701845152,0.3165006297950303,0.8455988455988456,0.502085988984645,0.16915193952704918,0.21875,0.8332048068890173,0.8331430044082202,0.09249693618115269,0.6084075591761954,0.9741161616161615,0.6958359271769384,0.11515138542448972,0.4803484330831563,0.9692555485819104
3,MultibranchTCN,EEG,39,13,3,0.5933643960399814,0.1483184938525974,0.217391304347826,0.8846153846153846,0.5467261532187675,0.15578936157257162,0.2525252525252525,0.8968253968253969,0.4937659598242738,0.1789007923035728,0.2066666666666666,0.886039886039886,0.8109395566795082,0.10938178769138142,0.4834125569419686,0.9914772727272728,0.6720608209166256,0.12013646040085399,0.3786521494941173,0.9669578737760556
4,MultibranchTCN,ECG,39,13,3,0.3613236337227388,0.1318432874984693,0.1739130434782608,0.5384615384615384,0.34039964768236847,0.06123524983610756,0.2189396541852742,0.6178861788617885,0.20241392919101878,0.07534340430924255,0.1153846153846153,0.4406593953882165,0.43145351848667307,0.16143212084604835,0.1166666666666666,0.7214285714285715,0.37784623787222915,0.08571816634572103,0.2552336735174474,0.5873968433527258
