rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,ShallowConvNet,EEG,15,5,3,0.5968191721132897,0.07371513702240591,0.5098039215686274,0.7705882352941177,0.5595696649029982,0.07881806415198343,0.452063492063492,0.7438095238095238,0.5351353155094538,0.08397481208493386,0.4133138271374607,0.7379237788256408,0.7663758363427675,0.045467635849718704,0.6937535273368608,0.8200832843425436,0.598756919114048,0.0700676828797388,0.4789813625066801,0.6602175845531596
2,MultibranchTCN,ECG_EEG,15,5,3,0.5277995642701525,0.0639282448871863,0.4104575163398692,0.6196078431372549,0.5017777777777778,0.058446307988336776,0.3606349206349206,0.5828571428571429,0.472773443845318,0.07914696576933403,0.2599761866539526,0.5774414365374811,0.7355422921157492,0.045394967363560385,0.6678664021164021,0.7996799921614736,0.570951514236679,0.05072078891719096,0.5088690499806688,0.6721800954643453
3,MultibranchTCN,EEG,15,5,3,0.5138562091503267,0.04031920746605017,0.4183006535947712,0.5686274509803921,0.4852557319223985,0.045322176645918456,0.3758730158730158,0.5603174603174604,0.46482865045352173,0.05905892808597966,0.3341511884402656,0.5532110837410308,0.7076634757332289,0.04660922491430478,0.5774726631393298,0.7619343523417598,0.5419563939718777,0.04928718277312622,0.3918565516901087,0.5935909857343619
4,MultibranchTCN,ECG_EEG_Pupil,15,5,3,0.4892330847542683,0.1164178556420073,0.2914110429447852,0.6563573883161512,0.422247914686877,0.05219685467788612,0.3263125763125763,0.4985349461466603,0.38867552146371614,0.0602790161658542,0.2943238728337665,0.4792104399939714,0.6578323070734309,0.10821542958149602,0.4725946565992746,0.8443807661849041,0.5113907534821457,0.10059529521385775,0.3632022192554531,0.6615116291617545
5,MultibranchTCN,Pupil,15,5,3,0.4786524566373782,0.10837397058594822,0.2791411042944785,0.697594501718213,0.4136320612931695,0.06999176424009815,0.3372549019607843,0.5862745098039216,0.3707513830341886,0.09570694709896725,0.2577519379844961,0.6031809863907279,0.6060187488305081,0.15465507816017057,0.3864677722847081,0.8737235183447503,0.47338950564944887,0.1380566368626876,0.3079932740297471,0.7569010686781591
6,MultibranchTCN,ECG_Pupil,15,5,3,0.44434919375819715,0.1281422364806778,0.2504173622704507,0.6907216494845361,0.39672192934539413,0.06948443363953595,0.2645978231201,0.576510809451986,0.35324623032621244,0.09517664983102474,0.1782692949788931,0.6058141419234024,0.6432054294182603,0.13252007241313946,0.4685886137772321,0.8802639088860635,0.5063081366683045,0.12349447846421342,0.358524600350496,0.7839077443494645
7,MultibranchTCN,EEG_Pupil,15,5,3,0.45334877836895743,0.1120154244418375,0.2760736196319018,0.6151202749140894,0.39195020823500853,0.043483517619825204,0.3317307692307692,0.4579774505571239,0.3359925936557596,0.057637902858481575,0.2607933005149097,0.42931056727097,0.6398329780317942,0.11224891201871892,0.482950928508713,0.8327713079653986,0.4947419227234697,0.09817830457886689,0.3750564238474695,0.6463324736114116
8,MultibranchTCN,ECG,15,5,3,0.32832244008714595,0.05496898373691634,0.2627450980392157,0.4117647058823529,0.33023633156966486,0.011195337582089897,0.2918518518518518,0.3403174603174603,0.18656671836851627,0.040938511180793814,0.1507334344967122,0.2756568144499179,0.49020241361290745,0.031097943778255463,0.4434671761708799,0.5785171957671958,0.3412359621632,0.02119833404734762,0.3077089726317667,0.387266765317139
