rank,model,path,n_operations,n_splits,n_seeds,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_min,test_pr_auc_max
1,MultibranchTCN,EEG,3,1,3,0.6163194444444445,0.023485675795952572,0.59375,0.640625,0.6163194444444445,0.023485675795952572,0.59375,0.640625,0.605949794864518,0.030022396264208828,0.588345244639912,0.6406152510647533,0.6614945023148148,0.005759392158380482,0.6559244791666667,0.6674262152777778,0.646386493539456,0.014812449302201753,0.6356712986426962,0.6632895274487773
2,MultibranchTCN,ECG_EEG_Pupil,3,1,3,0.578125,0.01041666666666663,0.5677083333333334,0.5885416666666666,0.5781249999999999,0.010416666666666685,0.5677083333333333,0.5885416666666666,0.5749371685064097,0.008936193066366794,0.5657174001907617,0.583559838563545,0.5987413194444443,0.01908211158421147,0.5789930555555555,0.6170789930555555,0.5961947601169615,0.02090197349828525,0.5726000155087724,0.6123919638131399
3,MultibranchTCN,ECG_EEG,3,1,3,0.5763888888888888,0.03182344232608223,0.5416666666666666,0.6041666666666666,0.576388888888889,0.03182344232608228,0.5416666666666666,0.6041666666666667,0.5720585706936154,0.030424955880459733,0.5412186379928315,0.6020508345151085,0.6179108796296297,0.020576685831276625,0.5941840277777778,0.630859375,0.6219115146798132,0.009646634504646283,0.6139561393565305,0.6326413545809638
4,MultibranchTCN,Pupil,3,1,3,0.5746527777777778,0.010842010413886124,0.5625,0.5833333333333334,0.5746527777777778,0.010842010413886079,0.5625,0.5833333333333333,0.5645656216844316,0.018870402300533193,0.5446640316205533,0.5821999782395821,0.5759186921296297,0.011849799596627929,0.5633680555555556,0.5869140625,0.5681407935192714,0.0156256507857467,0.5503674598612615,0.579718634903911
5,ShallowConvNet,EEG,3,1,3,0.5555555555555555,0.026727090830452542,0.5260416666666666,0.578125,0.5555555555555556,0.02672709083045248,0.5260416666666667,0.578125,0.547158775305823,0.02190592068116671,0.5222966507177034,0.56362411964421,0.5976924189814814,0.008680781608746493,0.5877821180555555,0.6039496527777778,0.6102496318076628,0.006939024662044837,0.6032880161826661,0.6171658426791657
6,MultibranchTCN,EEG_Pupil,3,1,3,0.5486111111111112,0.018291065543147134,0.53125,0.5677083333333334,0.5486111111111112,0.018291065543147134,0.53125,0.5677083333333334,0.4997159405834493,0.05750431891879946,0.4441585177560473,0.5589871315898713,0.6231915509259259,0.038050885889847993,0.5817057291666667,0.656467013888889,0.6320869639006571,0.03184120689772002,0.5978655836598006,0.6608396172366023
7,MultibranchTCN,ECG_Pupil,3,1,3,0.513888888888889,0.055691024070643885,0.4791666666666667,0.578125,0.5138888888888888,0.05569102407064392,0.4791666666666666,0.578125,0.48853593652500044,0.0760707111508443,0.4345381526104418,0.5755342667649226,0.5725911458333334,0.019857956666170077,0.55078125,0.5896267361111112,0.582558955077403,0.0352206519168869,0.5471626360468201,0.6176012712676212
8,MultibranchTCN,ECG,3,1,3,0.4861111111111111,0.03839122289495831,0.4427083333333333,0.515625,0.4861111111111111,0.03839122289495831,0.4427083333333333,0.515625,0.4762152892216207,0.03601102220065037,0.4423301392545943,0.5140298832430668,0.49609374999999994,0.04707400929498526,0.458984375,0.5490451388888888,0.5035794706703667,0.03722306112079866,0.4722149997727408,0.5447128112658466
